URL,blocker_type,description,can_codex_fix,manual_action_required,exact_manual_location,priority,blocks_publication,status
https://chamanlawfirm.com/proven-benefits-of-international-arbitration,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/nigeria-leading-immigration-lawyers,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/immigration-policy-in-attracting-foreign-talent,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/the-inheritance-rights-of-family-members,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/family-law-issues-in-inter-country-adoption,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/two-years-rule-as-regards-dissolution-of,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/the-difference-between-adoption-and-fostering-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/the-valid-procession-of-a-statutory-marriage,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/successfully-obtain-a-building-plan-approval,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/what-is-the-legal-status-of-collective-agreement,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/child-custody-in-customary-marriage,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/digital-rights-and-freedom-of-expression,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/procedure-and-guprivate-placement-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/the-defence-of-laches-in-customary-law-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-to-obtain-legal-guardianship-of-a-child,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-to-make-complaint-for-estimated-bills-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/what-are-the-top-gated-estates-in-lekki,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/ownership-understanding-the-legal,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/unveiling-5-proven-vital-role-of-evidence,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/registation-for-branch-or-subisidiary-of-a-c,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/remedies-for-wrongful-dismissal-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-to-apply-for-south-africa-qualification,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-to-obtain-building-in-lagos-state,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-to-claim-third-party-insurance-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/legal-advice-for-joint-ventures-in-nigeria-a-comprehensive-guide,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/steps-taken-in-registering-an-ngo-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/trade-associations-and-chambers-of-commerce,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/difference-between-assault-and-battery,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-do-i-get-building-approval-in-ogun-state,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/enforcing-fundamental-human-right,LEGAL,current fee/rate/procedure verification required,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,LEGAL,current fee/rate/procedure verification required,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-to-file-a-lawsuit-in-nigeria,LEGAL,current fee/rate/procedure verification required,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-to-calculate-and-pay-land-use-charge,LEGAL,current fee/rate/procedure verification required,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-to-resolve-land-disputes-in-nigeria-with,LEGAL,current fee/rate/procedure verification required,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/land-registration-system-in-nigeria,LEGAL,current fee/rate/procedure verification required,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/legal-implications-of-joint-property,LEGAL,remaining candidate passed routine repair pass but still needs substantive legal signoff,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/limitation-of-action-in-nigeria,LEGAL,remaining candidate passed routine repair pass but still needs substantive legal signoff,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/right-of-an-illegitimate-child,LEGAL,remaining candidate passed routine repair pass but still needs substantive legal signoff,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/taxes-on-real-estate-transactions-in-nigeria,LEGAL,remaining candidate passed routine repair pass but still needs substantive legal signoff,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/accountability-in-corporate-governance-in-nigeria,LEGAL,remaining candidate passed routine repair pass but still needs substantive legal signoff,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
