old URL,slug,title,source body recovered yes/no,source used,body quality,plugin debris removed yes/no,headings improved yes/no,answer-first paragraph added yes/no,consultation CTA added yes/no,internal links added yes/no,approval readiness,notes
https://chamanlawfirm.com/proven-steps-the-canons-of-interpretation,proven-steps-the-canons-of-interpretation,What Are the Canons of Interpretation,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,featured image missing; alt text missing/review needed
https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping and Up-Stamping of A Mortgage Document,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"internal link missing; consultation CTA missing; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/land-use-act-1978,land-use-act-1978,Understanding the Land Use Act: How It Affects You,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/how-to-obtain-tax-clearance-certificate,how-to-obtain-tax-clearance-certificate,How To Obtain Tax Clearance Certificate,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/nigeria-prohibited-items-list,nigeria-prohibited-items-list,Truths Behind Nigeria'S Prohibited Items List; What You Must Know!,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/landlords-and-tenants-in-nigeria,landlords-and-tenants-in-nigeria,Landlords and Tenants In Nigeria,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"property-sales/luxury wording; unsafe self-help wording; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria,rights-of-a-property-owner-in-nigeria,Your Rights As A Property Owner In Nigeria: What the Law Says,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/doctrine-of-ultra-vires,doctrine-of-ultra-vires,Understanding the Doctrine of Ultra Vires: A Legal Safeguard For Businesses,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/land-registration-system-in-nigeria,land-registration-system-in-nigeria,Land Registration System In Nigeria,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/lagos-tenancy-fixed-and-periodic-tenancies,lagos-tenancy-fixed-and-periodic-tenancies,Lagos Tenancy Fixed and Periodic Tenancies,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; unsafe self-help wording; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/board-of-directors-in-nigerian-companies,board-of-directors-in-nigerian-companies,The Strategic Power of the Board Directors In Nigerian Companies- For A Successful Business,yes,WordPress SQL body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/how-to-file-a-lawsuit-in-nigeria,how-to-file-a-lawsuit-in-nigeria,How To File A Lawsuit In Nigeria,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"misleading free-service wording; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/analysis-of-the-nigerian-legal-system,analysis-of-the-nigerian-legal-system,Unmasking the Flaws and Triumphs of the Nigerian Legal System: A Power Analysis,yes,WordPress SQL body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,featured image missing; alt text missing/review needed; property-sales/luxury wording; merge into stronger live equivalent /resources/blog/the-nigerian-legal-system; merge target preferred: /resources/blog/the-nigerian-legal-system
https://chamanlawfirm.com/how-to-apply-for-certificate-of-good-conduct-in-nigeria,how-to-apply-for-certificate-of-good-conduct-in-nigeria,How To Apply For Certificate of Good Conduct In Nigeria,yes,existing Sanity hidden body,usable,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/how-to-legally-evict-a-tenant-in-lagos-state,how-to-legally-evict-a-tenant-in-lagos-state,How To Legally Evict A Tenant In Lagos State Without Breaking the Law,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"internal link missing; consultation CTA missing; unsafe self-help wording; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/of-the-securities-and-exchange-commission,of-the-securities-and-exchange-commission,5 Functions of the Securities and Exchange Commission,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/challenges-of-implementing-the-land-use-act,challenges-of-implementing-the-land-use-act,Challenges of Implementing the Land Use Act,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/expert-witnesses-in-nigeria-court-proceeding,expert-witnesses-in-nigeria-court-proceeding,Expert Witnesses In Nigeria Court Proceeding,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/how-to-calculate-and-pay-land-use-charge,how-to-calculate-and-pay-land-use-charge,How To Calculate and Pay Land Use Charge,yes,WordPress SQL body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"internal link missing; consultation CTA missing; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/legally-combat-police-harassment-in-nigeria,legally-combat-police-harassment-in-nigeria,Legally Combat Police Harassment In Nigeria,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/legal-restrictions-to-sale-of-land,legal-restrictions-to-sale-of-land,Crucial Insights: Understanding the Legal Restrictions To Sale of Land,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/establishing-paternity-and-maternity-under,establishing-paternity-and-maternity-under,Establishing Paternity and Maternity Under Nigerian Law: A Comprehensive 3 Steps Guide,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/selling-a-family-land-without-everyones-consent,selling-a-family-land-without-everyones-consent,Selling A Family Land Without Everyones Consent,yes,WordPress SQL body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/rights-of-parties-to-a-mortgage,rights-of-parties-to-a-mortgage,Rights of Parties To A Mortgage,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/right-of-an-illegitimate-child,right-of-an-illegitimate-child,Right of An Illegitimate Child,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/minority-protection-rights-and-remedies,minority-protection-rights-and-remedies,Minority Protection: Rights and Remedies of Minorities,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/taxes-on-real-estate-transactions-in-nigeria,taxes-on-real-estate-transactions-in-nigeria,Taxes On Real Estate Transactions In Nigeria,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; property-sales/luxury wording; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/the-concept-of-restitution-of-conjugal-rights,the-concept-of-restitution-of-conjugal-rights,The Concept of Restitution of Conjugal Rights,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/breach-of-promise-to-marriage-in-nigeria,breach-of-promise-to-marriage-in-nigeria,Breach of Promise To Marriage In Nigeria,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/individual-tax-clearance-certificate,individual-tax-clearance-certificate,Individual Tax Clearance Certificate,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,7 Effective Steps To Take When A Landlord Refuses To Return Your Rent Deposit,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/laspppa-what-it-is-and-why-it-matters-in-lagos,laspppa-what-it-is-and-why-it-matters-in-lagos,Laspppa: What It Is and Why It Matters For Property Owners In Lagos,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/proven-steps-onoverview-of-the-child-right-act,proven-steps-onoverview-of-the-child-right-act,Onoverview of the Child Right Act,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/basic-elements-of-defamatory-statement,basic-elements-of-defamatory-statement,Basic Elements of Defamatory Statement,yes,WordPress SQL body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",approved,
https://chamanlawfirm.com/clauses-for-drafting-a-tenancy-agreement,clauses-for-drafting-a-tenancy-agreement,Clauses For Drafting A Tenancy Agreement,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/how-to-resolve-land-disputes-in-nigeria-with,how-to-resolve-land-disputes-in-nigeria-with,How To Resolve Land Disputes In Nigeria With,yes,WordPress SQL body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/limitation-of-action-in-nigeria,limitation-of-action-in-nigeria,Limitation of Action In Nigeria,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/legal-implications-of-joint-property,legal-implications-of-joint-property,The Legal Implications of Joint Property Ownership In Nigeria,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; property-sales/luxury wording; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/enforcing-fundamental-human-right,enforcing-fundamental-human-right,Fundamental Human Right; What Are the Procedures For Enforcing Fundamental Human Right?,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/powerful-steps-who-is-mercantile-agent,powerful-steps-who-is-mercantile-agent,Who Is Mercantile Agent,yes,WordPress SQL body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
