priority rank,legacy post ID,old URL,old slug,old title,old SEO title,old meta description,clicks,impressions,current production status,current redirect target,content recovered yes/no,image recovered yes/no,proposed Sanity slug,proposed public URL,approval status,redirect replacement status,notes
15,49730,https://chamanlawfirm.com/how-to-obtain-dual-citizenship-in-nigeria-a/,how-to-obtain-dual-citizenship-in-nigeria-a,How To Obtain Dual Citizenship In Nigeria A,How To Obtain Dual Citizenship In Nigeria A,"introduction: Dual citizenship allows individuals to hold citizenship in more than one country simultaneously. For many people, it offers the flexibility to live, work, and travel across borders while retaining ties to",74,17312,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-to-obtain-dual-citizenship-in-nigeria-a,/resources/blog/how-to-obtain-dual-citizenship-in-nigeria-a,candidate for controlled approval,pending exact article redirect after approval,
16,10006,https://chamanlawfirm.com/what-is-a-deed-of-assent-in-nigeria/,what-is-a-deed-of-assent-in-nigeria,What Is a Deed of Assent in Nigeria?,What Is a Deed of Assent in Nigeria?,"Introduction WHAT IS A DEED OF ASSENT IN NIGERIA A Deed of Assent is a document or instrument used by the Executor or legal Administrator of an estate to transfer, hand over, or vest a legal interest or title in a dece",74,8388,selected for Sprint 10J recovery,not currently redirected,yes,yes,what-is-a-deed-of-assent-in-nigeria,/resources/blog/what-is-a-deed-of-assent-in-nigeria,candidate for controlled approval,pending exact article redirect after approval,
17,61442,https://chamanlawfirm.com/legal-remedies-for-breach-of-land-sale-contract/,legal-remedies-for-breach-of-land-sale-contract,Legal Remedies For Breach Of Land Sale Contract,Powerful Steps: Remedies for Breach of Land Sale Contract,Legal Remedies for Breach of Land Sale Contract in Ogun -your legal rights and how to pursue justice if the other party fails to honor the terms.,73,4149,selected for Sprint 10J recovery,not currently redirected,yes,yes,legal-remedies-for-breach-of-land-sale-contract,/resources/blog/legal-remedies-for-breach-of-land-sale-contract,candidate for controlled approval,pending exact article redirect after approval,
18,9305,https://chamanlawfirm.com/how-to-obtain-an-infant-visa-in-nigeria/,how-to-obtain-an-infant-visa-in-nigeria,How To Obtain An Infant Visa In Nigeria,Powerful Steps: How to Obtain an Infant Visa in Nigeria,"earn how to obtain an infant visa in Nigeria, including the application steps, required documents, and important guidelines for parents or guardians.",72,6160,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-to-obtain-an-infant-visa-in-nigeria,/resources/blog/how-to-obtain-an-infant-visa-in-nigeria,candidate for controlled approval,pending exact article redirect after approval,
19,9883,https://chamanlawfirm.com/individual-tax-clearance-certificate/,individual-tax-clearance-certificate,Individual Tax Clearance Certificate,Individual Tax Clearance Certificate,Here are the steps on how to get an individual tax clearance certificate for Form A in Lagos State:,72,4649,selected for Sprint 10J recovery,not currently redirected,yes,yes,individual-tax-clearance-certificate,/resources/blog/individual-tax-clearance-certificate,hidden draft only,do not replace while hidden,Meta description may need improvement.
20,9764,https://chamanlawfirm.com/real-estate-taxes-in-nigeria-transactions/,real-estate-taxes-in-nigeria-transactions,Real Estate Taxes In Nigeria Transactions,UNDERSTANDING THE ESSENTIAL APPLICABILITY OF TAXES ON REAL ESTATE TRANSACTIONS IN NIGERIA,APPLICABILITY OF TAXES ON REAL ESTATE TRANSACTIONS IN NIGERIA The various taxes that apply on real estate transfer transaction includes Capital,70,6388,selected for Sprint 10J recovery,not currently redirected,yes,yes,real-estate-taxes-in-nigeria-transactions,/resources/blog/real-estate-taxes-in-nigeria-transactions,candidate for controlled approval,pending exact article redirect after approval,
21,10150,https://chamanlawfirm.com/taxes-on-real-estate-transactions-in-nigeria/,taxes-on-real-estate-transactions-in-nigeria,Taxes On Real Estate Transactions In Nigeria,Avoid Costly Mistakes: Essential Guide to Taxes on Real Estate Transactions in Nigeria,"Taxes on Real Estate Transactions in Nigeria- In Nigeria, real estate remains one of the most lucrative and sought-after investment portfolios. From Lagos to Abuja, Owerri to Port Harcourt, Nigerians are constantly buyin",70,5596,selected for Sprint 10J recovery,not currently redirected,yes,yes,taxes-on-real-estate-transactions-in-nigeria,/resources/blog/taxes-on-real-estate-transactions-in-nigeria,hidden draft only,do not replace while hidden,Placeholder/plugin debris requires cleanup.
22,10138,https://chamanlawfirm.com/domestic-violence-ground-for-dissolution-of-marriage-and-its-criminal-implications/,domestic-violence-ground-for-dissolution-of-marriage-and-its-criminal-implications,Domestic Violence as a Ground for Dissolution of Marriage in Nigeria,Domestic Violence as a Ground for Dissolution of Marriage in Nigeria,DOMESTIC VIOLENCE: GROUND FOR DISSOLUTION OF MARRIAGE AND ITS CRIMINAL IMPLICATIONS INTRODUCTION: The divorce laws and the process of divorce in Nigeria are topical issues for any person contemplating a divorce in Nige,70,1177,selected for Sprint 10J recovery,not currently redirected,yes,yes,domestic-violence-ground-for-dissolution-of-marriage-and-its-criminal-implications,/resources/blog/domestic-violence-ground-for-dissolution-of-marriage-and-its-criminal-implications,candidate for controlled approval,pending exact article redirect after approval,
23,60647,https://chamanlawfirm.com/how-do-i-process-survey-plan-approval-in-ogun/,how-do-i-process-survey-plan-approval-in-ogun,How to Process Survey Plan Approval in Ogun State,How do I process survey plan approval? | Chaman Law Firm,"How do i process survey plan approval in Ogun State, including the necessary steps, required documents, and government agencies involved.",69,3378,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-do-i-process-survey-plan-approval-in-ogun,/resources/blog/how-do-i-process-survey-plan-approval-in-ogun,candidate for controlled approval,pending exact article redirect after approval,
24,51376,https://chamanlawfirm.com/7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit/,7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,7 Effective Steps To Take When A Landlord Refuses To Return Your Rent Deposit,7 Effective Steps To Take When A Landlord Refuses To Return Your Rent Deposit,"Introduction A rent deposit serves as financial security for landlords, protecting against property damages or unpaid rent. However, it is also the tenant's right to have their deposit returned promptly and in full, pr",68,5171,selected for Sprint 10J recovery,not currently redirected,yes,yes,7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,/resources/blog/7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,hidden draft only,do not replace while hidden,Placeholder/plugin debris requires cleanup.
25,51339,https://chamanlawfirm.com/how-to-resolve-land-disputes-in-nigeria-with/,how-to-resolve-land-disputes-in-nigeria-with,How To Resolve Land Disputes In Nigeria With,How To Resolve Land Disputes In Nigeria With,How to Resolve Land Disputes in Nigeria Without Going to Court in 3 Proven steps,68,3377,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-to-resolve-land-disputes-in-nigeria-with,/resources/blog/how-to-resolve-land-disputes-in-nigeria-with,hidden draft only,do not replace while hidden,Meta description may need improvement.
26,46170,https://chamanlawfirm.com/family-courts-and-specialized-tribunals-2/,family-courts-and-specialized-tribunals-2,Family Courts and Specialized Tribunals in Nigeria,Family Courts And Specialized Tribunals 2; Empowering Justice: The Crucial Role of Family Courts and Specialized Tribunals in Nigeria,Family Courts And Specialized Tribunals 2 Civil society and legal practitioners also have a crucial role to play. Legal aid services must be expanded to ensure that the indigent...,66,5511,selected for Sprint 10J recovery,not currently redirected,yes,yes,family-courts-and-specialized-tribunals-2,/resources/blog/family-courts-and-specialized-tribunals-2,candidate for controlled approval,pending exact article redirect after approval,
27,9401,https://chamanlawfirm.com/defenses-and-bars-to-a-petition-for-divorce-2/,defenses-and-bars-to-a-petition-for-divorce-2,Defenses And Bars To A Petition For Divorce 2,Powerful Steps: Defenses and Bars to a Petition for Divorce,Explore legal defenses and bars to a petition for divorce in Nigeria. Chaman Law Firm explains how to protect rights and challenge divorce claims.,66,2205,selected for Sprint 10J recovery,not currently redirected,yes,no,defenses-and-bars-to-a-petition-for-divorce-2,/resources/blog/defenses-and-bars-to-a-petition-for-divorce-2,hidden draft only,do not replace while hidden,No recoverable article-specific image found.
28,10219,https://chamanlawfirm.com/breach-of-promise-to-marriage-in-nigeria/,breach-of-promise-to-marriage-in-nigeria,Breach Of Promise To Marriage In Nigeria,Breach of Promise to Marriage in Nigefria,Shocking Truth: Can Breach of Promise to Marriage Be Enforceable in Nigeria’s Legal System? Breach of promise to marriage in Nigeria,65,6573,selected for Sprint 10J recovery,not currently redirected,yes,yes,breach-of-promise-to-marriage-in-nigeria,/resources/blog/breach-of-promise-to-marriage-in-nigeria,hidden draft only,do not replace while hidden,Placeholder/plugin debris requires cleanup.
29,40210,https://chamanlawfirm.com/immigration-service-in-border-management/,immigration-service-in-border-management,The Role of Immigration Service in Border Management,Immigration Service In Border Management; Proven Ways the Nigerian Immigration Service (NIS) Powerfully Safeguards Nigeria’s Borders,"Immigration Service In Border Management Border management is a critical aspect of national security and economic stability for any country. In Nigeria, the...",64,27604,selected for Sprint 10J recovery,not currently redirected,yes,yes,immigration-service-in-border-management,/resources/blog/immigration-service-in-border-management,candidate for controlled approval,pending exact article redirect after approval,
30,9782,https://chamanlawfirm.com/how-to-apply-for-certificate-of-occupancy-in-nigeria/,how-to-apply-for-certificate-of-occupancy-in-nigeria,How To Apply For Certificate Of Occupancy In Nigeria,How To Apply For Certificate Of Occupancy In Nigeria,HOW TO APPLY FOR CERTIFICATE OF OCCUPANCY IN NIGERIA Are you aware that the most crucial document for a landowner or property buyer in Nigeria,64,5957,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-to-apply-for-certificate-of-occupancy-in-nigeria,/resources/blog/how-to-apply-for-certificate-of-occupancy-in-nigeria,candidate for controlled approval,pending exact article redirect after approval,
31,9903,https://chamanlawfirm.com/proven-steps-onoverview-of-the-child-right-act/,proven-steps-onoverview-of-the-child-right-act,Proven Steps Onoverview Of The Child Right Act,Proven Steps on Overview of the Child Right Act,"Overview of the Child Right Act (2003)), The Children's Rights Act of 2003 extends the human rights bestowed.....",63,20853,selected for Sprint 10J recovery,not currently redirected,yes,no,proven-steps-onoverview-of-the-child-right-act,/resources/blog/proven-steps-onoverview-of-the-child-right-act,hidden draft only,do not replace while hidden,No recoverable article-specific image found.
32,59434,https://chamanlawfirm.com/certificate-of-occupancy-in-oyo-state/,certificate-of-occupancy-in-oyo-state,Certificate Of Occupancy In Oyo State,Certificate of Occupancy in Oyo State: Ultimate Guide: Hassle-Free Way to Obtain Certificate of Occupancy (C of O) in Oyo State (2025),"Certificate of Occupancy in Oyo State Securing a Certificate of Occupancy (C of O) is a vital legal step in confirming land ownership in Oyo State, Nigeria. Whether...",63,9258,selected for Sprint 10J recovery,not currently redirected,yes,yes,certificate-of-occupancy-in-oyo-state,/resources/blog/certificate-of-occupancy-in-oyo-state,candidate for controlled approval,pending exact article redirect after approval,
33,48528,https://chamanlawfirm.com/mastering-nigeria-law-for-contract-an-in/,mastering-nigeria-law-for-contract-an-in,Mastering Nigeria Law For Contract An In,Mastering Nigeria Law For Contract An In,"Introduction Contracts are the backbone of legal and business transactions in any country, and Nigeria is no exception. The ""Nigeria law for contract"" plays a critical role in shaping and guiding both personal and comm",63,6755,selected for Sprint 10J recovery,not currently redirected,yes,yes,mastering-nigeria-law-for-contract-an-in,/resources/blog/mastering-nigeria-law-for-contract-an-in,candidate for controlled approval,pending exact article redirect after approval,
34,51500,https://chamanlawfirm.com/clauses-for-drafting-a-tenancy-agreement/,clauses-for-drafting-a-tenancy-agreement,Clauses For Drafting A Tenancy Agreement,Clauses For Drafting A Tenancy Agreement,Introduction A tenancy agreement is a vital document that outlines the terms and conditions governing the relationship between a landlord and a tenant. A tenancy agreement is more than just a piece of paper; it is the,63,4906,selected for Sprint 10J recovery,not currently redirected,yes,yes,clauses-for-drafting-a-tenancy-agreement,/resources/blog/clauses-for-drafting-a-tenancy-agreement,hidden draft only,do not replace while hidden,Placeholder/plugin debris requires cleanup.
35,9329,https://chamanlawfirm.com/landlord-and-tenant-relationship/,landlord-and-tenant-relationship,Landlord and Tenant Relationship in Nigeria,Powerful Steps: Landlord and Tenant Relationship,"Explore the landlord and tenant relationship in Nigeria, covering rights, obligations, tenancy agreements, and legal remedies for disputes.",63,2493,selected for Sprint 10J recovery,not currently redirected,yes,yes,landlord-and-tenant-relationship,/resources/blog/landlord-and-tenant-relationship,candidate for controlled approval,pending exact article redirect after approval,
36,10110,https://chamanlawfirm.com/how-to-apply-for-and-get-a-certificate-of-occupancy-in-enugu-state-nigeria/,how-to-apply-for-and-get-a-certificate-of-occupancy-in-enugu-state-nigeria,How To Apply For And Get A Certificate Of Occupancy In Enugu State Nigeria,How To Apply For And Get A Certificate Of Occupancy In Enugu State Nigeria,"To apply for and obtain a Certificate of Occupancy (C of O) in Enugu State, Nigeria, you will need to follow these general steps: Engage a Registered Town Planner: Start by engaging the services of a registered town pl",63,2390,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-to-apply-for-and-get-a-certificate-of-occupancy-in-enugu-state-nigeria,/resources/blog/how-to-apply-for-and-get-a-certificate-of-occupancy-in-enugu-state-nigeria,candidate for controlled approval,pending exact article redirect after approval,
37,60656,https://chamanlawfirm.com/how-do-i-regularize-land-documents-in-ogun-state/,how-do-i-regularize-land-documents-in-ogun-state,How to Regularize Land Documents in Ogun State,How do I regularize land documents in Ogun | Chaman Law Firm,"How to regularize land documents in Ogun State with insights from Chaman Law Firm. Understand the key differences, processes, and legal tips",61,3901,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-do-i-regularize-land-documents-in-ogun-state,/resources/blog/how-do-i-regularize-land-documents-in-ogun-state,candidate for controlled approval,pending exact article redirect after approval,
38,48811,https://chamanlawfirm.com/how-to-file-for-child-custody-in-nigeria-a/,how-to-file-for-child-custody-in-nigeria-a,How to File for Child Custody in Nigeria,How to File for Child Custody in Nigeria,"Introduction Child custody disputes can be among the most challenging and emotionally charged aspects of family law. In Nigeria, understanding how to navigate the child custody process is crucial for parents seeking to",61,3472,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-to-file-for-child-custody-in-nigeria-a,/resources/blog/how-to-file-for-child-custody-in-nigeria-a,candidate for controlled approval,pending exact article redirect after approval,
39,10125,https://chamanlawfirm.com/right-of-an-illegitimate-child/,right-of-an-illegitimate-child,Right Of An Illegitimate Child,Right Of An Illegitimate Child,"RIGHT OF AN ILLEGITIMATE CHILD, An illegitimate child is one born outside of marriage. An illegitimate child can become recognized....",60,10790,selected for Sprint 10J recovery,not currently redirected,yes,yes,right-of-an-illegitimate-child,/resources/blog/right-of-an-illegitimate-child,candidate for controlled approval,pending exact article redirect after approval,
40,9899,https://chamanlawfirm.com/overview-of-statutory-marriage-in-nigeria/,overview-of-statutory-marriage-in-nigeria,Overview of Statutory Marriage in Nigeria,Proven Steps on Overview of Statutory Marriage in Nigeria,"Overview of Statutory Marriage in Nigeria, Marriage can be defined as a legally and socially sanctioned union between a man",57,8889,selected for Sprint 10J recovery,not currently redirected,yes,yes,overview-of-statutory-marriage-in-nigeria,/resources/blog/overview-of-statutory-marriage-in-nigeria,candidate for controlled approval,pending exact article redirect after approval,
41,61381,https://chamanlawfirm.com/sell-family-land-without-everyones-consent/,sell-family-land-without-everyones-consent,Sell Family Land Without Everyones Consent,Powerful Steps: Sell Family Land Without Everyone's Consent,"Sell Family Land in Ogun Without Everyone's Consent - Learn the legal implications, your rights, potential consequences, and how to avoid disputes.",57,8155,selected for Sprint 10J recovery,not currently redirected,yes,no,sell-family-land-without-everyones-consent,/resources/blog/sell-family-land-without-everyones-consent,hidden draft only,do not replace while hidden,No recoverable article-specific image found.
42,59678,https://chamanlawfirm.com/rights-of-children-born-outside-wedlock/,rights-of-children-born-outside-wedlock,Rights of Children Born Outside Wedlock in Nigeria,Powerful steps: Rights of Children Born Outside Wedlock,Learn about inheritance rights of children born outside wedlock in Nigeria with Chaman Law Firm’s trusted legal for parents,57,5792,selected for Sprint 10J recovery,not currently redirected,yes,yes,rights-of-children-born-outside-wedlock,/resources/blog/rights-of-children-born-outside-wedlock,candidate for controlled approval,pending exact article redirect after approval,
43,10042,https://chamanlawfirm.com/limitation-of-action-in-nigeria/,limitation-of-action-in-nigeria,Limitation Of Action In Nigeria,Limitation Of Action In Nigeria,"Introduction LIMITATION OF ACTION IN NIGERIA Before filing a lawsuit in Nigeria, it is important to be aware of the statute of limitations because it applies to different types of litigation. A law known as the statute",57,4873,selected for Sprint 10J recovery,not currently redirected,yes,yes,limitation-of-action-in-nigeria,/resources/blog/limitation-of-action-in-nigeria,hidden draft only,do not replace while hidden,Placeholder/plugin debris requires cleanup.
44,46511,https://chamanlawfirm.com/how-to-legally-subdivide-and-develop-land/,how-to-legally-subdivide-and-develop-land,How to Legally Subdivide and Develop Land in Nigeria,How To Legally Subdivide And Develop Land: Ultimate Guide to Successfully Subdividing and Developing Land in Nigeria – Avoid Costly Legal Mistakes,How To Legally Subdivide And Develop Land Successfully navigating the legal process of subdividing and developing land in Nigeria is not only possible but entirely achievable...,57,2939,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-to-legally-subdivide-and-develop-land,/resources/blog/how-to-legally-subdivide-and-develop-land,candidate for controlled approval,pending exact article redirect after approval,
45,9657,https://chamanlawfirm.com/difference-between-a-parent-company-and-a-subsidiary/,difference-between-a-parent-company-and-a-subsidiary,Difference Between a Parent Company and a Subsidiary,Difference Between a Parent Company and a Subsidiary,"DIFFERENCE BETWEEN A PARENT COMPANY AND A SUBSIDIARY, Parent companies own and control up to 51% of a company's stocks and...",56,8293,selected for Sprint 10J recovery,not currently redirected,yes,yes,difference-between-a-parent-company-and-a-subsidiary,/resources/blog/difference-between-a-parent-company-and-a-subsidiary,candidate for controlled approval,pending exact article redirect after approval,
46,9692,https://chamanlawfirm.com/tenancy-law-of-lagos-state-2011/,tenancy-law-of-lagos-state-2011,Tenancy Law Of Lagos State 2011,Tenancy Law Of Lagos State 2011,"Monthly Tenancy Under The Tenancy Law of Lagos State, 2011 The Tenancy Law of Lagos State, 2011, formerly known as Rent Control and Recovery of Residential Premises Law Vol.7 Laws of Lagos State 2003, is the law that g",56,4974,selected for Sprint 10J recovery,not currently redirected,yes,yes,tenancy-law-of-lagos-state-2011,/resources/blog/tenancy-law-of-lagos-state-2011,candidate for controlled approval,pending exact article redirect after approval,
47,9280,https://chamanlawfirm.com/how-to-get-international-passport-in-nigeria/,how-to-get-international-passport-in-nigeria,How to Get an International Passport in Nigeria,Powerful Steps: How to Get International Passport in Nigeria,"Learn How to Get International Passport in Nigeria, including application steps, required documents, fees, and guidelines for a smooth process.",55,51890,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-to-get-international-passport-in-nigeria,/resources/blog/how-to-get-international-passport-in-nigeria,candidate for controlled approval,pending exact article redirect after approval,
48,10037,https://chamanlawfirm.com/procedures-for-land-registration-in-nigeria/,procedures-for-land-registration-in-nigeria,Procedures for Land Registration in Nigeria,Procedures for Land Registration in Nigeria,Introduction PROCEDURES FOR LAND REGISTRATION IN NIGERIA The land registration process is Lagos State is governed by the provisions of the Land Registration Law of Lagos State and Land Use Act of 1978. For land to by d,55,6515,selected for Sprint 10J recovery,not currently redirected,yes,yes,procedures-for-land-registration-in-nigeria,/resources/blog/procedures-for-land-registration-in-nigeria,candidate for controlled approval,pending exact article redirect after approval,
49,10093,https://chamanlawfirm.com/the-le-a-legally-binding-contracts-in-nigeri/,the-le-a-legally-binding-contracts-in-nigeri,Legally Binding Contracts in Nigeria,Legally Binding Contracts in Nigeria,"OVERVIEW OF CONSTRUCTION CONTRACT IN NIGERIA In Nigeria, the standard forms of construction contract commonly used in the construction industry include: The FIDIC Forms. The SFBCN, 1990. The GCC, 2011. The JCT standard",55,4225,selected for Sprint 10J recovery,not currently redirected,yes,yes,the-le-a-legally-binding-contracts-in-nigeri,/resources/blog/the-le-a-legally-binding-contracts-in-nigeri,candidate for controlled approval,pending exact article redirect after approval,
50,9808,https://chamanlawfirm.com/recovery-of-premises/,recovery-of-premises,Recovery Of Premises,Recovery Of Premises,WHAT IS THE CONCEPT OF RECOVERY OF PREMISES UNDER TENANCY LAW The procedure for the recovery of premises is generally,55,4140,selected for Sprint 10J recovery,not currently redirected,yes,yes,recovery-of-premises,/resources/blog/recovery-of-premises,candidate for controlled approval,pending exact article redirect after approval,
