priority rank,old URL,old title,old meta description,old page type,old content found yes/no,image found yes/no,clicks,impressions,current status,recommended new route,recommended action,redirect target,needs new page yes/no,legal review status,SEO risk level,notes
17,https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,The Jurisdiction Of Courts In Nigeria,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,770,40707,requires live/index review,/resources/blog/the-jurisdiction-of-courts-in-nigeria,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
18,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,The Concept Of Rule Of Law In Nigeria,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,763,51092,requires live/index review,/resources/blog/the-concept-of-rule-of-law-in-nigeria,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
19,https://chamanlawfirm.com/types-of-tenant-in-nigeria/,Types Of Tenant In Nigeria,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,758,23316,requires live/index review,/resources/blog/types-of-tenant-in-nigeria,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
20,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,How To Change Car Ownership In Nigeria,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,731,34973,requires live/index review,/resources/blog/how-to-change-car-ownership-in-nigeria,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
21,https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,Proper Steps To Eviction Of Tenants,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,708,32444,requires live/index review,/resources/blog/proper-steps-to-eviction-of-tenants,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
22,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,How To Track A Stolen Phone In Nigeria,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,689,48652,requires live/index review,/resources/blog/how-to-track-a-stolen-phone-in-nigeria,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
23,https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/,The Ogun State Tenancy Law Chaman Law Firm,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,646,10043,requires live/index review,/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
24,https://chamanlawfirm.com/building-permit-approval-in-ogun-state/,Building Permit Approval In Ogun State,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,629,22729,requires live/index review,/resources/blog/building-permit-approval-in-ogun-state,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
25,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria/,List Of Government Agencies Of Nigeria,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,608,70716,requires live/index review,/resources/blog/list-of-government-agencies-of-nigeria,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
26,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/,4 Steps On How To Deal With A Bad Landlordin,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,570,14414,requires live/index review,/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
27,https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/,Joinder Of Parties Misjoinder Of Parties,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,553,15775,requires live/index review,/resources/blog/joinder-of-parties-misjoinder-of-parties,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
28,https://chamanlawfirm.com/how-to-change-name-with-deed-poll/,How To Change Name With Deed Poll,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,531,24126,requires live/index review,/resources/blog/how-to-change-name-with-deed-poll,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
29,https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right/,Statutory Right Of Occupancy Vs Customary Right,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,503,14711,requires live/index review,/resources/blog/statutory-right-of-occupancy-vs-customary-right,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
30,https://chamanlawfirm.com/ways-to-prove-ownership-of-land/,Ways To Prove Ownership Of Land,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,442,28020,requires live/index review,/resources/blog/ways-to-prove-ownership-of-land,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
31,https://chamanlawfirm.com/5-steps-on-how-to-obtain-restraining-order/,5 Steps On How To Obtain Restraining Order,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,421,7829,requires live/index review,/resources/blog/5-steps-on-how-to-obtain-restraining-order,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
32,https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw/,Steps On How To Confidently Report Acrimelaw,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,414,30229,requires live/index review,/resources/blog/steps-on-how-to-confidently-report-acrimelaw,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
33,https://chamanlawfirm.com/what-are-elements-of-tax-law/,What Are Elements Of Tax Law,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,397,10170,requires live/index review,/resources/blog/what-are-elements-of-tax-law,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
34,https://chamanlawfirm.com/tax-administration-in-nigeria/,Tax Administration In Nigeria,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,376,16882,requires live/index review,/resources/blog/tax-administration-in-nigeria,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
35,https://chamanlawfirm.com/difference-between-ownership-and-possession/,Difference Between Ownership And Possession,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,375,13367,requires live/index review,/resources/blog/difference-between-ownership-and-possession,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
36,https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria/,Apply For Drivers Licence In Nigeria,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,373,102871,requires live/index review,/resources/blog/apply-for-drivers-licence-in-nigeria,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
37,https://chamanlawfirm.com/community-development-associations-law/,Community Development Associations Law,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,372,16011,requires live/index review,/resources/blog/community-development-associations-law,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
38,https://chamanlawfirm.com/child-support-and-maintenance-payment/,Child Support And Maintenance Payment,,legacy legal article,not verified in Sprint 10R,not verified in Sprint 10R,366,29484,requires live/index review,/resources/blog/child-support-and-maintenance-payment,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
39,https://chamanlawfirm.com/how-to-replace-a-lost-a-marriage-certificate/,How To Replace A Lost A Marriage Certificate,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,336,7917,requires live/index review,/resources/blog/how-to-replace-a-lost-a-marriage-certificate,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
40,https://chamanlawfirm.com/the-statutory-right-of-occupancy-in-nigeria/,The Statutory Right Of Occupancy In Nigeria,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,328,24757,requires live/index review,/resources/blog/the-statutory-right-of-occupancy-in-nigeria,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
