old URL,slug,title,selected for Sprint 11I,body status,image status,alt text status,SEO status,canonical,author governance,category/practice relationship,consultation CTA,internal links,legal status,duplicate status,approval status,redirect status,notes
https://chamanlawfirm.com/the-duties-of-lawyers-to-client,the-duties-of-lawyers-to-client,The Duties Of Lawyers To Client,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/the-duties-of-lawyers-to-client,"Charles Chukwuma Nkwoka, Esq.",Professional ethics and client service; Other legal/general information,present in source,present,low/medium - editorial legal review required,medium - compare hidden draft against public practice/page before approval,already public,not eligible,already public
https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,The Role Of Technology In Nigerian Education,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/the-role-of-technology-in-nigerian-education,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,Stamping And Up Stamping Of A Mortgage Document,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/stamping-and-up-stamping-of-a-mortgage-document,"Charles Chukwuma Nkwoka, Esq.",Property finance and stamp duties; Other legal/general information,needed before approval,present,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,hidden,not eligible,outside Sprint 11I controlled approval subset
https://chamanlawfirm.com/how-to-apply-for-certificate-of-good-conduct-in-nigeria,how-to-apply-for-certificate-of-good-conduct-in-nigeria,How To Apply For Certificate Of Good Conduct In Nigeria,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/how-to-apply-for-certificate-of-good-conduct-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/the-nigerian-legal-system,the-nigerian-legal-system,The Nigerian Legal System,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/the-nigerian-legal-system,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/nigeria-prohibited-items-list,nigeria-prohibited-items-list,Nigeria Prohibited Items List,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/nigeria-prohibited-items-list,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/legal-implications-of-joint-property,legal-implications-of-joint-property,Legal Implications Of Joint Property,no,present,missing,missing,complete,https://chamanlawfirm.com/resources/blog/legal-implications-of-joint-property,"Charles Chukwuma Nkwoka, Esq.",Family property and inheritance; Other legal/general information,present in source,present,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,hidden,not eligible,outside Sprint 11I controlled approval subset; featured image missing; alt text missing/review needed; property-sales/luxury wording
https://chamanlawfirm.com/how-to-obtain-tax-clearance-certificate,how-to-obtain-tax-clearance-certificate,How To Obtain Tax Clearance Certificate,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/how-to-obtain-tax-clearance-certificate,"Charles Chukwuma Nkwoka, Esq.",Corporate & Commercial Law,present in source,present,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,hidden,not eligible,outside Sprint 11I controlled approval subset
https://chamanlawfirm.com/laspppa-what-it-is-and-why-it-matters-in-lagos,laspppa-what-it-is-and-why-it-matters-in-lagos,Laspppa What It Is And Why It Matters In Lagos,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/laspppa-what-it-is-and-why-it-matters-in-lagos,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/land-registration-system-in-nigeria,land-registration-system-in-nigeria,Land Registration System In Nigeria,no,short/review needed,present,present,complete,https://chamanlawfirm.com/resources/blog/land-registration-system-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",Property And Real Estate Law,present in source,present,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,hidden,not eligible,outside Sprint 11I controlled approval subset; body too short or missing
https://chamanlawfirm.com/land-use-act-1978,land-use-act-1978,Land Use Act 1978,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/land-use-act-1978,"Charles Chukwuma Nkwoka, Esq.",Property and Real Estate Law,needed before approval,needed before approval,medium - current-law review required but no automated unsafe wording detected,high - likely cannibalization with existing stronger content,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended; high - likely cannibalization with existing stronger content"
https://chamanlawfirm.com/the-concept-of-restitution-of-conjugal-rights,the-concept-of-restitution-of-conjugal-rights,The Concept Of Restitution Of Conjugal Rights,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/the-concept-of-restitution-of-conjugal-rights,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,high - lawyer review required before approval,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended; high - lawyer review required before approval"
https://chamanlawfirm.com/5-lis-pendens-understanding-the-doctrine,5-lis-pendens-understanding-the-doctrine,5 Lis Pendens Understanding The Doctrine,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/5-lis-pendens-understanding-the-doctrine,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/lagos-tenancy-fixed-and-periodic-tenancies,lagos-tenancy-fixed-and-periodic-tenancies,Lagos Tenancy Fixed And Periodic Tenancies,no,present,missing,missing,complete,https://chamanlawfirm.com/resources/blog/lagos-tenancy-fixed-and-periodic-tenancies,"Charles Chukwuma Nkwoka, Esq.",Property And Real Estate Law,needed before approval,needed before approval,medium - current-law review required but no automated unsafe wording detected,high - likely cannibalization with existing stronger content,hidden,not eligible,"outside Sprint 11I controlled approval subset; featured image missing; alt text missing/review needed; internal link missing in source; CTA will be added, but manual link review recommended; unsafe self-help wording; high - likely cannibalization with existing stronger content"
https://chamanlawfirm.com/enforcing-fundamental-human-right,enforcing-fundamental-human-right,Enforcing Fundamental Human Right,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/enforcing-fundamental-human-right,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/landlords-and-tenants-in-nigeria,landlords-and-tenants-in-nigeria,Landlords And Tenants In Nigeria,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/landlords-and-tenants-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",Property And Real Estate Law,present in source,present,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,hidden,not eligible,outside Sprint 11I controlled approval subset; property-sales/luxury wording; unsafe self-help wording
https://chamanlawfirm.com/proven-steps-the-canons-of-interpretation,proven-steps-the-canons-of-interpretation,Proven Steps The Canons Of Interpretation,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/proven-steps-the-canons-of-interpretation,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/how-to-file-a-lawsuit-in-nigeria,how-to-file-a-lawsuit-in-nigeria,How To File A Lawsuit In Nigeria,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/how-to-file-a-lawsuit-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria,rights-of-a-property-owner-in-nigeria,Rights Of A Property Owner In Nigeria,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/rights-of-a-property-owner-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",Property and Real Estate Law,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/expert-witnesses-in-nigeria-court-proceeding,expert-witnesses-in-nigeria-court-proceeding,Expert Witnesses In Nigeria Court Proceeding,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/expert-witnesses-in-nigeria-court-proceeding,"Charles Chukwuma Nkwoka, Esq.",Litigation and dispute resolution,present in source,present,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,hidden,not eligible,outside Sprint 11I controlled approval subset
https://chamanlawfirm.com/maxims-of-equity,maxims-of-equity,Maxims Of Equity,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/maxims-of-equity,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/revocation-of-power-of-attorney,revocation-of-power-of-attorney,Revocation Of Power Of Attorney,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/revocation-of-power-of-attorney,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/deed-of-partition-in-nigeria,deed-of-partition-in-nigeria,Deed Of Partition In Nigeria,yes,present,present,present,complete,https://chamanlawfirm.com/resources/blog/deed-of-partition-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",Property And Real Estate Law,present or added,present,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,approved,ready for exact redirect after target is live and sitemap-included,
https://chamanlawfirm.com/the-role-of-regulatory-bodies,the-role-of-regulatory-bodies,The Role Of Regulatory Bodies,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/the-role-of-regulatory-bodies,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/how-to-calculate-and-pay-land-use-charge,how-to-calculate-and-pay-land-use-charge,How To Calculate And Pay Land Use Charge,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/how-to-calculate-and-pay-land-use-charge,"Charles Chukwuma Nkwoka, Esq.",Property And Real Estate Law,needed before approval,needed before approval,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,hidden,not eligible,"outside Sprint 11I controlled approval subset; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/of-the-securities-and-exchange-commission,of-the-securities-and-exchange-commission,Of The Securities And Exchange Commission,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/of-the-securities-and-exchange-commission,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,medium - current-law review required but no automated unsafe wording detected,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/digital-evidence-admissibility-in-nigeria,digital-evidence-admissibility-in-nigeria,Digital Evidence Admissibility In Nigeria,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/digital-evidence-admissibility-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/doctrine-of-ultra-vires,doctrine-of-ultra-vires,Doctrine Of Ultra Vires,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/doctrine-of-ultra-vires,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/board-of-directors-in-nigerian-companies,board-of-directors-in-nigerian-companies,Board Of Directors In Nigerian Companies,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/board-of-directors-in-nigerian-companies,"Charles Chukwuma Nkwoka, Esq.",Corporate and Commercial Law,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/pohistory-of-legal-profession-in-nigeria,pohistory-of-legal-profession-in-nigeria,Pohistory Of Legal Profession In Nigeria,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/pohistory-of-legal-profession-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",Legal education and civic law; Other legal/general information; Corporate & Commercial Law,needed before approval,present,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,hidden,not eligible,outside Sprint 11I controlled approval subset
https://chamanlawfirm.com/can-a-member-be-expelled-from-a-trade-union,can-a-member-be-expelled-from-a-trade-union,Can A Member Be Expelled From A Trade Union,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/can-a-member-be-expelled-from-a-trade-union,"Charles Chukwuma Nkwoka, Esq.",Employment Law,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/selling-a-family-land-without-everyones-consent,selling-a-family-land-without-everyones-consent,Selling A Family Land Without Everyones Consent,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/selling-a-family-land-without-everyones-consent,"Charles Chukwuma Nkwoka, Esq.",Family Law,present in source,needed before approval,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,hidden,not eligible,"outside Sprint 11I controlled approval subset; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/challenges-of-implementing-the-land-use-act,challenges-of-implementing-the-land-use-act,Challenges Of Implementing The Land Use Act,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/challenges-of-implementing-the-land-use-act,"Charles Chukwuma Nkwoka, Esq.","Property And Real Estate Law; Land ownership, title and registration",present in source,present,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,hidden,not eligible,outside Sprint 11I controlled approval subset
https://chamanlawfirm.com/land-use-act-and-land-tenure-systems,land-use-act-and-land-tenure-systems,Land Use Act And Land Tenure Systems,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/land-use-act-and-land-tenure-systems,"Charles Chukwuma Nkwoka, Esq.",Property And Real Estate Law,present in source,present,medium - current-law review required but no automated unsafe wording detected,medium - compare hidden draft against public practice/page before approval,already public,not eligible,already public
https://chamanlawfirm.com/international-law-in-conflict-resolution,international-law-in-conflict-resolution,International Law In Conflict Resolution,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/international-law-in-conflict-resolution,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/powerful-steps-who-is-mercantile-agent,powerful-steps-who-is-mercantile-agent,Powerful Steps Who Is Mercantile Agent,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/powerful-steps-who-is-mercantile-agent,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/rights-of-parties-to-a-mortgage,rights-of-parties-to-a-mortgage,Rights Of Parties To A Mortgage,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/rights-of-parties-to-a-mortgage,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,medium - current-law review required but no automated unsafe wording detected,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
