priority rank,old URL,new URL,redirect type,status,activation condition,notes
21,https://chamanlawfirm.com/ways-to-prove-ownership-of-land/,https://chamanlawfirm.com/resources/blog/ways-to-prove-ownership-of-land,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
22,https://chamanlawfirm.com/5-steps-on-how-to-obtain-restraining-order/,https://chamanlawfirm.com/resources/blog/5-steps-on-how-to-obtain-restraining-order,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
23,https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw/,https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
24,https://chamanlawfirm.com/what-are-elements-of-tax-law/,https://chamanlawfirm.com/resources/blog/what-are-elements-of-tax-law,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
25,https://chamanlawfirm.com/tax-administration-in-nigeria/,https://chamanlawfirm.com/resources/blog/tax-administration-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
26,https://chamanlawfirm.com/difference-between-ownership-and-possession/,https://chamanlawfirm.com/resources/blog/difference-between-ownership-and-possession,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
27,https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria/,https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
28,https://chamanlawfirm.com/community-development-associations-law/,https://chamanlawfirm.com/resources/blog/community-development-associations-law,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
29,https://chamanlawfirm.com/child-support-and-maintenance-payment/,https://chamanlawfirm.com/resources/blog/child-support-and-maintenance-payment,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
30,https://chamanlawfirm.com/how-to-notarize-a-document-in-nigeria/,https://chamanlawfirm.com/resources/blog/how-to-notarize-a-document-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
31,https://chamanlawfirm.com/how-to-replace-a-lost-a-marriage-certificate/,https://chamanlawfirm.com/resources/blog/how-to-replace-a-lost-a-marriage-certificate,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
32,https://chamanlawfirm.com/the-statutory-right-of-occupancy-in-nigeria/,https://chamanlawfirm.com/resources/blog/the-statutory-right-of-occupancy-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
33,http://www.chamanlawfirm.com/,https://chamanlawfirm.com/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
34,https://chamanlawfirm.com/legal-steps-to-take-when-our-land-has-been/,https://chamanlawfirm.com/resources/blog/legal-steps-to-take-when-our-land-has-been,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
35,https://chamanlawfirm.com/transfer-of-company-shares-in-nigeria/,https://chamanlawfirm.com/resources/blog/transfer-of-company-shares-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
36,https://chamanlawfirm.com/rights-of-tenants-in-ogun-chaman-law-firm/,https://chamanlawfirm.com/resources/blog/rights-of-tenants-in-ogun-chaman-law-firm,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
37,https://chamanlawfirm.com/5-vital-role-of-consumer-protection-agencies/,https://chamanlawfirm.com/resources/blog/5-vital-role-of-consumer-protection-agencies,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
38,https://chamanlawfirm.com/what-is-the-implication-of-quit-notice/,https://chamanlawfirm.com/resources/blog/what-is-the-implication-of-quit-notice,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
39,https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria/,https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
40,https://chamanlawfirm.com/polygamy-and-multiple-marriages-in-nigeria/,https://chamanlawfirm.com/resources/blog/polygamy-and-multiple-marriages-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
41,https://chamanlawfirm.com/steps-to-permanent-residency-in-nigeria/,https://chamanlawfirm.com/resources/blog/steps-to-permanent-residency-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
42,https://chamanlawfirm.com/taxation-of-the-construction-sector-in-nigeria/,https://chamanlawfirm.com/resources/blog/taxation-of-the-construction-sector-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
43,https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law/,https://chamanlawfirm.com/resources/blog/what-are-the-sources-of-nigerian-law,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
44,https://chamanlawfirm.com/sharing-of-property-after-divorce-in-nigeria/,https://chamanlawfirm.com/resources/blog/sharing-of-property-after-divorce-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
45,https://chamanlawfirm.com/challenges-facing-the-nigerian-court-system/,https://chamanlawfirm.com/resources/blog/challenges-facing-the-nigerian-court-system,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
46,https://chamanlawfirm.com/statute-of-limitations-on-debt-in-nigeria/,https://chamanlawfirm.com/resources/blog/statute-of-limitations-on-debt-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
47,https://chamanlawfirm.com/registration-of-trade-union-in-nigeria/,https://chamanlawfirm.com/resources/blog/registration-of-trade-union-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
48,https://chamanlawfirm.com/is-foreign-marriage-under-the-nigerian-law/,https://chamanlawfirm.com/resources/blog/is-foreign-marriage-under-the-nigerian-law,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
49,https://chamanlawfirm.com/how-to-file-complaint-against-police-officers-in-nigeria/,https://chamanlawfirm.com/resources/blog/how-to-file-complaint-against-police-officers-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
50,https://chamanlawfirm.com/abandonment-and-withdrew-of-court-action/,https://chamanlawfirm.com/resources/blog/abandonment-and-withdrew-of-court-action,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
51,https://chamanlawfirm.com/taxation-of-sole-proprietorship/,https://chamanlawfirm.com/resources/blog/taxation-of-sole-proprietorship,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
52,https://chamanlawfirm.com/customary-vs-statutory-marriage-in-nigeria/,https://chamanlawfirm.com/resources/blog/customary-vs-statutory-marriage-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
53,https://chamanlawfirm.com/powerful-steps-what-is-trespass-to-land-2/,https://chamanlawfirm.com/resources/blog/powerful-steps-what-is-trespass-to-land-2,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
54,https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education/,https://chamanlawfirm.com/resources/blog/the-role-of-technology-in-nigerian-education,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
55,https://chamanlawfirm.com/certificate-of-occupancy-in-rivers-state/,https://chamanlawfirm.com/resources/blog/certificate-of-occupancy-in-rivers-state,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
56,https://chamanlawfirm.com/the-duties-of-lawyers-to-client/,https://chamanlawfirm.com/resources/blog/the-duties-of-lawyers-to-client,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
57,https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria/,https://chamanlawfirm.com/resources/blog/duties-of-correctional-institutions-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
58,https://chamanlawfirm.com/how-to-secure-child-support-and-maintenance/,https://chamanlawfirm.com/resources/blog/how-to-secure-child-support-and-maintenance,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
59,https://chamanlawfirm.com/to-apply-for-and-get-certificate-of-occupancy/,https://chamanlawfirm.com/resources/blog/to-apply-for-and-get-certificate-of-occupancy,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
60,https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document/,https://chamanlawfirm.com/resources/blog/stamping-and-up-stamping-of-a-mortgage-document,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
61,https://chamanlawfirm.com/how-to-legally-change-a-child-surname/,https://chamanlawfirm.com/how-to-legally-change-a-child-surname/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
62,https://chamanlawfirm.com/the-role-of-the-judiciary-in-nigerian-democracy/,https://chamanlawfirm.com/the-role-of-the-judiciary-in-nigerian-democracy/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
63,https://chamanlawfirm.com/void-and-voidable-marriages-in-nigeria/,https://chamanlawfirm.com/resources/blog/void-and-voidable-marriages-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
64,https://chamanlawfirm.com/dissolution-of-marriage-under-the-nigeria-law/,https://chamanlawfirm.com/resources/blog/dissolution-of-marriage-under-the-nigeria-law,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
65,https://chamanlawfirm.com/can-a-minor-enter-into-a-valid-contract-in-nigeria/,https://chamanlawfirm.com/resources/blog/can-a-minor-enter-into-a-valid-contract-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
66,https://chamanlawfirm.com/family-property-and-right-of-individual-member-in-family-property/,https://chamanlawfirm.com/resources/blog/family-property-and-right-of-individual-member-in-family-property,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
67,https://chamanlawfirm.com/conditions-for-granting-injunctions-and-types-of-injunctions/,https://chamanlawfirm.com/resources/blog/conditions-for-granting-injunctions-and-types-of-injunctions,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
68,https://chamanlawfirm.com/annulment-of-marriage-under-the-nigerian-law/,https://chamanlawfirm.com/resources/blog/annulment-of-marriage-under-the-nigerian-law,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
69,https://chamanlawfirm.com/how-to-verify-land-title-before-buying-land/,https://chamanlawfirm.com/how-to-verify-land-title-before-buying-land/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
70,https://chamanlawfirm.com/what-are-rights-of-women-to-inheritance-in-nigeria/,https://chamanlawfirm.com/resources/blog/what-are-rights-of-women-to-inheritance-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
71,https://chamanlawfirm.com/communal-land-and-family-land/,https://chamanlawfirm.com/resources/blog/communal-land-and-family-land,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
72,https://chamanlawfirm.com/land-ownership-disputes-in-nigeria/,https://chamanlawfirm.com/resources/blog/land-ownership-disputes-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
73,https://chamanlawfirm.com/overview-of-the-concept-recovery-of-premises/,https://chamanlawfirm.com/resources/blog/overview-of-the-concept-recovery-of-premises,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
74,https://chamanlawfirm.com/how-do-i-legally-evict-a-tenant-in-ogun-state/,https://chamanlawfirm.com/resources/blog/how-do-i-legally-evict-a-tenant-in-ogun-state,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
75,https://chamanlawfirm.com/types-of-land-registration-in-nigeria/,https://chamanlawfirm.com/resources/blog/types-of-land-registration-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
76,https://chamanlawfirm.com/how-to-apply-for-certificate-of-good-conduct-in-nigeria/,https://chamanlawfirm.com/resources/blog/how-to-apply-for-certificate-of-good-conduct-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
77,https://chamanlawfirm.com/overview-of-latches-and-acquiescence/,https://chamanlawfirm.com/resources/blog/overview-of-latches-and-acquiescence,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
78,https://chamanlawfirm.com/land-grabbing-the-legal-consequences-of/,https://chamanlawfirm.com/resources/blog/land-grabbing-the-legal-consequences-of,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
79,https://chamanlawfirm.com/is-police-bail-free-in-nigeria/,https://chamanlawfirm.com/resources/blog/is-police-bail-free-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
80,https://chamanlawfirm.com/what-to-know-about-company-resolution/,https://chamanlawfirm.com/resources/blog/what-to-know-about-company-resolution,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
81,https://chamanlawfirm.com/powerful-steps-sources-of-tax-law-in-nigeria/,https://chamanlawfirm.com/resources/blog/powerful-steps-sources-of-tax-law-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
82,https://chamanlawfirm.com/the-nigerian-legal-system/,https://chamanlawfirm.com/the-nigerian-legal-system/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
83,https://chamanlawfirm.com/what-is-the-process-of-land-acquisition/,https://chamanlawfirm.com/resources/blog/what-is-the-process-of-land-acquisition,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
84,https://chamanlawfirm.com/the-role-of-family-court-in-relation-to-child-protect-in-nigeria/,https://chamanlawfirm.com/resources/blog/the-role-of-family-court-in-relation-to-child-protect-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
85,https://chamanlawfirm.com/cost-of-building-approval-chaman-law-firm/,https://chamanlawfirm.com/resources/blog/cost-of-building-approval-chaman-law-firm,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
86,https://chamanlawfirm.com/complete-guide-to-probate-registry-in-lagos/,https://chamanlawfirm.com/resources/blog/complete-guide-to-probate-registry-in-lagos,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
87,https://chamanlawfirm.com/property-how-to-place-a-caveat/,https://chamanlawfirm.com/resources/blog/property-how-to-place-a-caveat,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
88,https://chamanlawfirm.com/tthe-legal-rights-of-a-wife-after-divorce/,https://chamanlawfirm.com/tthe-legal-rights-of-a-wife-after-divorce/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
89,https://chamanlawfirm.com/how-to-calculate-stamp-duty-chaman-law-firm/,https://chamanlawfirm.com/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
90,https://chamanlawfirm.com/can-a-landlord-increase-rent-arbitrarily-in-ogun/,https://chamanlawfirm.com/resources/blog/can-a-landlord-increase-rent-arbitrarily-in-ogun,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
91,https://chamanlawfirm.com/deal-with-and-bad-tenant-as-a-landlord/,https://chamanlawfirm.com/resources/blog/deal-with-and-bad-tenant-as-a-landlord,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
92,https://chamanlawfirm.com/nigeria-prohibited-items-list/,https://chamanlawfirm.com/resources/blog/nigeria-prohibited-items-list,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
93,https://chamanlawfirm.com/types-of-parties-to-a-civil-action/,https://chamanlawfirm.com/resources/blog/types-of-parties-to-a-civil-action,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
94,https://chamanlawfirm.com/how-to-legally-sublet-a-property-in-nigeria/,https://chamanlawfirm.com/resources/blog/how-to-legally-sublet-a-property-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
95,https://chamanlawfirm.com/how-do-i-obtain-a-certificate-of-occupancy/,https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
96,https://chamanlawfirm.com/powerful-steps-valid-survey/,https://chamanlawfirm.com/powerful-steps-valid-survey/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
97,https://chamanlawfirm.com/what-governs-contract-in-nigeria/,https://chamanlawfirm.com/resources/blog/what-governs-contract-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
98,https://chamanlawfirm.com/understanding-rent-increase-laws-in-lagos/,https://chamanlawfirm.com/resources/blog/understanding-rent-increase-laws-in-lagos,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
99,https://chamanlawfirm.com/obtaining-governor-consent-for-land-transactions/,https://chamanlawfirm.com/resources/blog/obtaining-governor-consent-for-land-transactions,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
100,https://chamanlawfirm.com/deed-of-assignment-in-nigeria/,https://chamanlawfirm.com/resources/blog/deed-of-assignment-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
101,https://chamanlawfirm.com/the-land-use-and-allocation-committee-luac/,https://chamanlawfirm.com/resources/blog/the-land-use-and-allocation-committee-luac,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
102,https://chamanlawfirm.com/legal-implications-of-joint-property/,https://chamanlawfirm.com/resources/blog/legal-implications-of-joint-property,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
103,https://chamanlawfirm.com/enforcing-fundamental-human-right/,https://chamanlawfirm.com/resources/blog/enforcing-fundamental-human-right,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
104,https://chamanlawfirm.com/revocation-of-power-of-attorney/,https://chamanlawfirm.com/resources/blog/revocation-of-power-of-attorney,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
105,https://chamanlawfirm.com/property-insurance-in-nigeria/,https://chamanlawfirm.com/resources/blog/property-insurance-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
106,https://chamanlawfirm.com/documents-apostilled-in-nigeria/,https://chamanlawfirm.com/resources/blog/documents-apostilled-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
107,https://chamanlawfirm.com/insightful-overview-of-family-law-in-nigeria/,https://chamanlawfirm.com/resources/blog/insightful-overview-of-family-law-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
108,https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/,https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
109,https://chamanlawfirm.com/the-concept-of-restitution-of-conjugal-rights/,https://chamanlawfirm.com/resources/blog/the-concept-of-restitution-of-conjugal-rights,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
110,https://chamanlawfirm.com/5-lis-pendens-understanding-the-doctrine/,https://chamanlawfirm.com/resources/blog/5-lis-pendens-understanding-the-doctrine,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
111,https://chamanlawfirm.com/how-to-obtain-tax-clearance-certificate/,https://chamanlawfirm.com/resources/blog/how-to-obtain-tax-clearance-certificate,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
112,https://chamanlawfirm.com/who-holds-authority-over-land-under-the-land/,https://chamanlawfirm.com/resources/blog/who-holds-authority-over-land-under-the-land,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
113,https://chamanlawfirm.com/developer-fails-to-deliver-property/,https://chamanlawfirm.com/resources/blog/developer-fails-to-deliver-property,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
114,https://chamanlawfirm.com/pohistory-of-legal-profession-in-nigeria/,https://chamanlawfirm.com/resources/blog/pohistory-of-legal-profession-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
115,https://chamanlawfirm.com/land-registration-system-in-nigeria/,https://chamanlawfirm.com/resources/blog/land-registration-system-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
116,https://chamanlawfirm.com/lagos-tenancy-fixed-and-periodic-tenancies/,https://chamanlawfirm.com/resources/blog/lagos-tenancy-fixed-and-periodic-tenancies,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
117,https://chamanlawfirm.com/expert-witnesses-in-nigeria-court-proceeding/,https://chamanlawfirm.com/resources/blog/expert-witnesses-in-nigeria-court-proceeding,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
118,https://chamanlawfirm.com/how-to-conduct-search-at-land-registry/,https://chamanlawfirm.com/resources/blog/how-to-conduct-search-at-land-registry,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
119,https://chamanlawfirm.com/importance-of-covenants-in-a-tenancy-agreement/,https://chamanlawfirm.com/resources/blog/importance-of-covenants-in-a-tenancy-agreement,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
120,https://chamanlawfirm.com/how-to-prove-ownership-of-land-in-nigeria/,https://chamanlawfirm.com/resources/blog/how-to-prove-ownership-of-land-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
