"priority","wave","legacy_url","legacy_path","new_route","new_canonical","topic","pillar","clicks","impressions","primary_reviewer","support_reviewer","migration_status","lawyer_review_status","content_instruction"
"15","Wave 2 - high value","https://chamanlawfirm.com/legal-steps-to-take-when-our-land-has-been/","/legal-steps-to-take-when-our-land-has-been/","/resources/blog/legal-steps-to-take-when-our-land-has-been","https://chamanlawfirm.com/resources/blog/legal-steps-to-take-when-our-land-has-been","Other legal/general information","Land dispute response","315","8372","Charles Chukwuma Nkwoka","Arinze Amobi","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"16","Wave 2 - high value","https://chamanlawfirm.com/the-statutory-right-of-occupancy-in-nigeria/","/the-statutory-right-of-occupancy-in-nigeria/","/resources/blog/the-statutory-right-of-occupancy-in-nigeria","https://chamanlawfirm.com/resources/blog/the-statutory-right-of-occupancy-in-nigeria","Certificate of Occupancy and right of occupancy","Property title and perfection","328","24757","Charles Chukwuma Nkwoka","Ibraheem Akewusola","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"17","Wave 2 - high value","https://chamanlawfirm.com/how-to-replace-a-lost-a-marriage-certificate/","/how-to-replace-a-lost-a-marriage-certificate/","/resources/blog/how-to-replace-a-lost-a-marriage-certificate","https://chamanlawfirm.com/resources/blog/how-to-replace-a-lost-a-marriage-certificate","Family, marriage and divorce","Family law and documentation","336","7917","Justina Edewede Obriko","Victoria N. Nwofia","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"18","Wave 2 - high value","https://chamanlawfirm.com/rights-of-tenants-in-ogun-chaman-law-firm/","/rights-of-tenants-in-ogun-chaman-law-firm/","/resources/blog/rights-of-tenants-in-ogun-chaman-law-firm","https://chamanlawfirm.com/resources/blog/rights-of-tenants-in-ogun-chaman-law-firm","Tenancy, landlord and eviction","Property and tenancy law","286","6542","Justina Edewede Obriko","Charles Chukwuma Nkwoka","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"19","Wave 2 - high value","https://chamanlawfirm.com/transfer-of-company-shares-in-nigeria/","/transfer-of-company-shares-in-nigeria/","/resources/blog/transfer-of-company-shares-in-nigeria","https://chamanlawfirm.com/resources/blog/transfer-of-company-shares-in-nigeria","Other legal/general information","Corporate and commercial law","295","8083","Justina Edewede Obriko","Ibraheem Akewusola","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"20","Wave 2 - high value","https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria/","/the-overall-list-of-federal-laws-in-nigeria/","/resources/blog/the-overall-list-of-federal-laws-in-nigeria","https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria","Other legal/general information","Legal education and civic law","263","22517","Charles Chukwuma Nkwoka","Arinze Amobi","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"21","Wave 2 - high value","https://chamanlawfirm.com/the-duties-of-lawyers-to-client/","/the-duties-of-lawyers-to-client/","/resources/blog/the-duties-of-lawyers-to-client","https://chamanlawfirm.com/resources/blog/the-duties-of-lawyers-to-client","Other legal/general information","Professional ethics and client service","202","10665","Charles Chukwuma Nkwoka","Justina Edewede Obriko","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"22","Wave 2 - high value","https://chamanlawfirm.com/statute-of-limitations-on-debt-in-nigeria/","/statute-of-limitations-on-debt-in-nigeria/","/resources/blog/statute-of-limitations-on-debt-in-nigeria","https://chamanlawfirm.com/resources/blog/statute-of-limitations-on-debt-in-nigeria","Debt recovery","Debt recovery and enforcement","229","10391","Arinze Amobi","Martha Elendu","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"23","Wave 2 - high value","https://chamanlawfirm.com/is-foreign-marriage-under-the-nigerian-law/","/is-foreign-marriage-under-the-nigerian-law/","/resources/blog/is-foreign-marriage-under-the-nigerian-law","https://chamanlawfirm.com/resources/blog/is-foreign-marriage-under-the-nigerian-law","Family, marriage and divorce","Family law and documentation","227","9164","Justina Edewede Obriko","Victoria N. Nwofia","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"24","Wave 2 - high value","https://chamanlawfirm.com/powerful-steps-what-is-trespass-to-land-2/","/powerful-steps-what-is-trespass-to-land-2/","/resources/blog/powerful-steps-what-is-trespass-to-land-2","https://chamanlawfirm.com/resources/blog/powerful-steps-what-is-trespass-to-land-2","Other legal/general information","Land disputes and trespass","212","17921","Arinze Amobi","Charles Chukwuma Nkwoka","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"25","Wave 2 - high value","https://chamanlawfirm.com/abandonment-and-withdrew-of-court-action/","/abandonment-and-withdrew-of-court-action/","/resources/blog/abandonment-and-withdrew-of-court-action","https://chamanlawfirm.com/resources/blog/abandonment-and-withdrew-of-court-action","Court jurisdiction and civil procedure","Litigation and dispute resolution","219","10144","Arinze Amobi","Justina Edewede Obriko","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"26","Wave 3 - launch queue","https://chamanlawfirm.com/land-grabbing-the-legal-consequences-of/","/land-grabbing-the-legal-consequences-of/","/resources/blog/land-grabbing-the-legal-consequences-of","https://chamanlawfirm.com/resources/blog/land-grabbing-the-legal-consequences-of","Other legal/general information","Land disputes and trespass","148","7395","Arinze Amobi","Charles Chukwuma Nkwoka","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"27","Wave 3 - launch queue","https://chamanlawfirm.com/how-do-i-legally-evict-a-tenant-in-ogun-state/","/how-do-i-legally-evict-a-tenant-in-ogun-state/","/resources/blog/how-do-i-legally-evict-a-tenant-in-ogun-state","https://chamanlawfirm.com/resources/blog/how-do-i-legally-evict-a-tenant-in-ogun-state","Tenancy, landlord and eviction","Property litigation and tenancy disputes","151","4331","Justina Edewede Obriko","Arinze Amobi","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"28","Wave 3 - launch queue","https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document/","/stamping-and-up-stamping-of-a-mortgage-document/","/resources/blog/stamping-and-up-stamping-of-a-mortgage-document","https://chamanlawfirm.com/resources/blog/stamping-and-up-stamping-of-a-mortgage-document","Other legal/general information","Property finance and stamp duties","187","6730","Charles Chukwuma Nkwoka","Ibraheem Akewusola","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"29","Wave 3 - launch queue","https://chamanlawfirm.com/cost-of-building-approval-chaman-law-firm/","/cost-of-building-approval-chaman-law-firm/","/resources/blog/cost-of-building-approval-chaman-law-firm","https://chamanlawfirm.com/resources/blog/cost-of-building-approval-chaman-law-firm","Other legal/general information","Property development compliance","142","5152","Charles Chukwuma Nkwoka","Martha Elendu","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"30","Wave 3 - launch queue","https://chamanlawfirm.com/how-to-calculate-stamp-duty-chaman-law-firm/","/how-to-calculate-stamp-duty-chaman-law-firm/","/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm","https://chamanlawfirm.com/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm","Other legal/general information","Property finance and stamp duties","138","5274","Charles Chukwuma Nkwoka","Ibraheem Akewusola","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"31","Wave 3 - launch queue","https://chamanlawfirm.com/dissolution-of-marriage-under-the-nigeria-law/","/dissolution-of-marriage-under-the-nigeria-law/","/resources/blog/dissolution-of-marriage-under-the-nigeria-law","https://chamanlawfirm.com/resources/blog/dissolution-of-marriage-under-the-nigeria-law","Family, marriage and divorce","Family law and documentation","171","9696","Justina Edewede Obriko","Victoria N. Nwofia","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"32","Wave 3 - launch queue","https://chamanlawfirm.com/deal-with-and-bad-tenant-as-a-landlord/","/deal-with-and-bad-tenant-as-a-landlord/","/resources/blog/deal-with-and-bad-tenant-as-a-landlord","https://chamanlawfirm.com/resources/blog/deal-with-and-bad-tenant-as-a-landlord","Tenancy, landlord and eviction","Property litigation and tenancy disputes","130","7642","Justina Edewede Obriko","Arinze Amobi","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"33","Wave 3 - launch queue","https://chamanlawfirm.com/void-and-voidable-marriages-in-nigeria/","/void-and-voidable-marriages-in-nigeria/","/resources/blog/void-and-voidable-marriages-in-nigeria","https://chamanlawfirm.com/resources/blog/void-and-voidable-marriages-in-nigeria","Family, marriage and divorce","Family law and documentation","172","7850","Justina Edewede Obriko","Victoria N. Nwofia","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"34","Wave 3 - launch queue","https://chamanlawfirm.com/can-a-minor-enter-into-a-valid-contract-in-nigeria/","/can-a-minor-enter-into-a-valid-contract-in-nigeria/","/resources/blog/can-a-minor-enter-into-a-valid-contract-in-nigeria","https://chamanlawfirm.com/resources/blog/can-a-minor-enter-into-a-valid-contract-in-nigeria","Other legal/general information","Contract and commercial law","168","10340","Justina Edewede Obriko","Ibraheem Akewusola","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"35","Wave 3 - launch queue","https://chamanlawfirm.com/how-to-legally-sublet-a-property-in-nigeria/","/how-to-legally-sublet-a-property-in-nigeria/","/resources/blog/how-to-legally-sublet-a-property-in-nigeria","https://chamanlawfirm.com/resources/blog/how-to-legally-sublet-a-property-in-nigeria","Other legal/general information","Property and tenancy law","124","8399","Justina Edewede Obriko","Charles Chukwuma Nkwoka","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"36","Wave 3 - launch queue","https://chamanlawfirm.com/how-do-i-obtain-a-certificate-of-occupancy/","/how-do-i-obtain-a-certificate-of-occupancy/","/resources/blog/how-do-i-obtain-a-certificate-of-occupancy","https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy","Certificate of Occupancy and right of occupancy","Property title and perfection","122","6087","Charles Chukwuma Nkwoka","Ibraheem Akewusola","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"37","Wave 3 - launch queue","https://chamanlawfirm.com/annulment-of-marriage-under-the-nigerian-law/","/annulment-of-marriage-under-the-nigerian-law/","/resources/blog/annulment-of-marriage-under-the-nigerian-law","https://chamanlawfirm.com/resources/blog/annulment-of-marriage-under-the-nigerian-law","Family, marriage and divorce","Family law and documentation","163","7865","Justina Edewede Obriko","Victoria N. Nwofia","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"38","Wave 3 - launch queue","https://chamanlawfirm.com/family-property-and-right-of-individual-member-in-family-property/","/family-property-and-right-of-individual-member-in-family-property/","/resources/blog/family-property-and-right-of-individual-member-in-family-property","https://chamanlawfirm.com/resources/blog/family-property-and-right-of-individual-member-in-family-property","Other legal/general information","Family property and inheritance","166","4234","Charles Chukwuma Nkwoka","Justina Edewede Obriko","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"39","Wave 3 - launch queue","https://chamanlawfirm.com/communal-land-and-family-land/","/communal-land-and-family-land/","/resources/blog/communal-land-and-family-land","https://chamanlawfirm.com/resources/blog/communal-land-and-family-land","Other legal/general information","Family and communal land","151","11645","Charles Chukwuma Nkwoka","Martha Elendu","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"40","Wave 3 - launch queue","https://chamanlawfirm.com/land-ownership-disputes-in-nigeria/","/land-ownership-disputes-in-nigeria/","/resources/blog/land-ownership-disputes-in-nigeria","https://chamanlawfirm.com/resources/blog/land-ownership-disputes-in-nigeria","Other legal/general information","Land disputes and trespass","151","10907","Arinze Amobi","Charles Chukwuma Nkwoka","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"41","Wave 3 - launch queue","https://chamanlawfirm.com/what-are-rights-of-women-to-inheritance-in-nigeria/","/what-are-rights-of-women-to-inheritance-in-nigeria/","/resources/blog/what-are-rights-of-women-to-inheritance-in-nigeria","https://chamanlawfirm.com/resources/blog/what-are-rights-of-women-to-inheritance-in-nigeria","Probate, wills and inheritance","Probate and inheritance","152","8878","Justina Edewede Obriko","Victoria N. Nwofia","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"42","Wave 3 - launch queue","https://chamanlawfirm.com/overview-of-the-concept-recovery-of-premises/","/overview-of-the-concept-recovery-of-premises/","/resources/blog/overview-of-the-concept-recovery-of-premises","https://chamanlawfirm.com/resources/blog/overview-of-the-concept-recovery-of-premises","Debt recovery","Property litigation and tenancy disputes","151","8920","Arinze Amobi","Justina Edewede Obriko","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"43","Wave 3 - launch queue","https://chamanlawfirm.com/types-of-land-registration-in-nigeria/","/types-of-land-registration-in-nigeria/","/resources/blog/types-of-land-registration-in-nigeria","https://chamanlawfirm.com/resources/blog/types-of-land-registration-in-nigeria","Land ownership, title and registration","Property title and perfection","150","9485","Charles Chukwuma Nkwoka","Martha Elendu","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"44","Wave 3 - launch queue","https://chamanlawfirm.com/what-to-know-about-company-resolution/","/what-to-know-about-company-resolution/","/resources/blog/what-to-know-about-company-resolution","https://chamanlawfirm.com/resources/blog/what-to-know-about-company-resolution","Other legal/general information","Corporate and commercial law","146","12053","Justina Edewede Obriko","Ibraheem Akewusola","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"45","Wave 3 - launch queue","https://chamanlawfirm.com/legal-implications-of-joint-property/","/legal-implications-of-joint-property/","/resources/blog/legal-implications-of-joint-property","https://chamanlawfirm.com/resources/blog/legal-implications-of-joint-property","Other legal/general information","Family property and inheritance","112","5574","Charles Chukwuma Nkwoka","Justina Edewede Obriko","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"46","Wave 3 - launch queue","https://chamanlawfirm.com/what-is-the-process-of-land-acquisition/","/what-is-the-process-of-land-acquisition/","/resources/blog/what-is-the-process-of-land-acquisition","https://chamanlawfirm.com/resources/blog/what-is-the-process-of-land-acquisition","Other legal/general information","Property title and perfection","145","10528","Charles Chukwuma Nkwoka","Martha Elendu","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"47","Wave 3 - launch queue","https://chamanlawfirm.com/the-role-of-family-court-in-relation-to-child-protect-in-nigeria/","/the-role-of-family-court-in-relation-to-child-protect-in-nigeria/","/resources/blog/the-role-of-family-court-in-relation-to-child-protect-in-nigeria","https://chamanlawfirm.com/resources/blog/the-role-of-family-court-in-relation-to-child-protect-in-nigeria","Court jurisdiction and civil procedure","Family litigation and child protection","144","6480","Justina Edewede Obriko","Arinze Amobi","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"48","Wave 3 - launch queue","https://chamanlawfirm.com/pohistory-of-legal-profession-in-nigeria/","/pohistory-of-legal-profession-in-nigeria/","/resources/blog/pohistory-of-legal-profession-in-nigeria","https://chamanlawfirm.com/resources/blog/pohistory-of-legal-profession-in-nigeria","Other legal/general information","Legal education and civic law","102","2525","Charles Chukwuma Nkwoka","Arinze Amobi","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"49","Wave 3 - launch queue","https://chamanlawfirm.com/legal-obligations-for-debt-collectors/","/legal-obligations-for-debt-collectors/","/resources/blog/legal-obligations-for-debt-collectors","https://chamanlawfirm.com/resources/blog/legal-obligations-for-debt-collectors","Debt recovery","Debt recovery and enforcement","92","8933","Arinze Amobi","Martha Elendu","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"50","Wave 3 - launch queue","https://chamanlawfirm.com/how-to-legally-evict-a-tenant-in-lagos-state/","/how-to-legally-evict-a-tenant-in-lagos-state/","/resources/blog/how-to-legally-evict-a-tenant-in-lagos-state","https://chamanlawfirm.com/resources/blog/how-to-legally-evict-a-tenant-in-lagos-state","Tenancy, landlord and eviction","Property litigation and tenancy disputes","90","7981","Arinze Amobi","Justina Edewede Obriko","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
