priority rank,old URL,old title,old meta title,old meta description,old content type,current live status,Google ranking/impression/click evidence,featured snippet evidence,old image availability,best new route,whether to preserve same URL or redirect,redirect target,canonical URL,sitemap inclusion,legal safety status,image status,approval status,recovery classification,notes
"38","https://chamanlawfirm.com/what-is-the-implication-of-quit-notice/","What Is The Implication Of Quit Notice","Implication of Quit Notice","Implication of Quit Notice. It is a letter issued to a tenant by the landlord stating the specific date the tenant is expected to evict the premises and give up possession of the property.","general legal education","redirect configured to /practice-areas/property-real-estate-law","283 clicks; 30132 impressions; avg position 11.67 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/property-real-estate-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","high - lawyer review required before publication","image recovery needed","hidden/not approved","merge into existing stronger live page",""
"39","https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria/","The Overall List Of Federal Laws In Nigeria","THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA","THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA, The Laws of the Federation of Nigeria comprises all the laws in existence in Nigeria....","general legal education","hidden Sanity draft; do not redirect","263 clicks; 22517 impressions; avg position 14.43 from local GSC Pages.csv","not available locally","Sanity image present","/resources/blog/the-overall-list-of-federal-laws-in-nigeria","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image and alt present in Sanity","hidden/not approved","keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",""
"40","https://chamanlawfirm.com/polygamy-and-multiple-marriages-in-nigeria/","Polygamy And Multiple Marriages In Nigeria","Polygamy And Multiple Marriages In Nigeria; The Ultimate Guide to Polygamy under Nigerian Law: Proven Essential Insights","Polygamy And Multiple Marriages In Nigeria","family law","redirect configured to /practice-areas/family-law","262 clicks; 65029 impressions; avg position 8.88 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/family-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/family-law","included","high - lawyer review required before publication","image and alt present in Sanity","hidden/not approved","merge into existing stronger live page",""
"43","https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law/","What Are The Sources Of Nigerian Law","","","general legal education","live 404","231 clicks; 30286 impressions; avg position 14.56 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/what-are-the-sources-of-nigerian-law","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/what-are-the-sources-of-nigerian-law","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"47","https://chamanlawfirm.com/registration-of-trade-union-in-nigeria/","Registration Of Trade Union In Nigeria","","","general legal education","redirect configured to /practice-areas/employment-law","227 clicks; 11085 impressions; avg position 14.87 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/employment-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/employment-law","included","low/medium - editorial and legal review still required","image recovery needed","not restored","merge into existing stronger live page",""
"49","https://chamanlawfirm.com/how-to-file-complaint-against-police-officers-in-nigeria/","How To File Complaint Against Police Officers In Nigeria","How To File Complaint Against Police Officers In Nigeria","HOW TO FILE COMPLAINT AGAINST POLICE OFFICERS IN NIGERIA, To file a complaint against a police officer in Nigeria...","litigation/ADR","redirect configured to /practice-areas/litigation-dispute-resolution","226 clicks; 14028 impressions; avg position 9.58 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/litigation-dispute-resolution","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution","included","high - lawyer review required before publication","image recovery needed","hidden/not approved","merge into existing stronger live page",""
"54","https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education/","The Role Of Technology In Nigerian Education","","","general legal education","live 404","210 clicks; 19932 impressions; avg position 22 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/the-role-of-technology-in-nigerian-education","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/the-role-of-technology-in-nigerian-education","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"56","https://chamanlawfirm.com/the-duties-of-lawyers-to-client/","The Duties Of Lawyers To Client","The Duties of Lawyers to Clients: 6 Essential Responsibilities for Trust and Success","THE DUTIES OF LAWYERS TO CLIENT There are ethics and professional code of conduct which a lawyer must adhere to. In Nigeria, lawyers are bound by the rules of professional conduct (RPC). The rules of professional cond...","general legal education","hidden Sanity draft; do not redirect","202 clicks; 10665 impressions; avg position 15.36 from local GSC Pages.csv","not available locally","Sanity image present","/resources/blog/the-duties-of-lawyers-to-client","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/the-duties-of-lawyers-to-client","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image and alt present in Sanity","hidden/not approved","keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",""
"57","https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria/","Duties Of Correctional Institutions In Nigeria","","","general legal education","live 404","197 clicks; 25303 impressions; avg position 10.84 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/duties-of-correctional-institutions-in-nigeria","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/duties-of-correctional-institutions-in-nigeria","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"60","https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document/","Stamping And Up Stamping Of A Mortgage Document","Proven: Stamping and Up-Stamping of a Mortgage Document","process of Stamping and Up-Stamping of a Mortgage Document for commercial properties and why it matters for legal and financial transactions.","notary/documentation","hidden Sanity draft; do not redirect","187 clicks; 6730 impressions; avg position 6.22 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/stamping-and-up-stamping-of-a-mortgage-document","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/stamping-and-up-stamping-of-a-mortgage-document","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","hidden/not approved","keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",""
"61","https://chamanlawfirm.com/how-to-legally-change-a-child-surname/","How To Legally Change A Child Surname","","","family law","redirect configured to /practice-areas/family-law","180 clicks; 10512 impressions; avg position 10.02 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/family-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/family-law","included","high - lawyer review required before publication","image recovery needed","not restored","merge into existing stronger live page",""
"62","https://chamanlawfirm.com/the-role-of-the-judiciary-in-nigerian-democracy/","The Role Of The Judiciary In Nigerian Democracy","","","litigation/ADR","redirect configured to /practice-areas/litigation-dispute-resolution","177 clicks; 8272 impressions; avg position 16.9 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/litigation-dispute-resolution","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution","included","low/medium - editorial and legal review still required","image recovery needed","not restored","merge into existing stronger live page",""
"63","https://chamanlawfirm.com/void-and-voidable-marriages-in-nigeria/","Void And Voidable Marriages In Nigeria","Void and Voidable Marriages in Nigeria: Understanding Legal Implications","VOID AND VOIDABLE MARRIAGES IN NIGERIA,Marriages are generally annulled in Nigeria when parties","family law","redirect configured to /practice-areas/family-law","172 clicks; 7850 impressions; avg position 14.05 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/family-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/family-law","included","high - lawyer review required before publication","image and alt present in Sanity","hidden/not approved","merge into existing stronger live page",""
"65","https://chamanlawfirm.com/can-a-minor-enter-into-a-valid-contract-in-nigeria/","Can A Minor Enter Into A Valid Contract In Nigeria","CAN A MINOR ENTER INTO A VALID CONTRACT IN NIGERIA?","CAN A MINOR ENTER INTO A VALID CONTRACT IN NIGERIA? A minor can legally enter into a contract but","corporate/commercial","redirect configured to /practice-areas/corporate-commercial-law","168 clicks; 10340 impressions; avg position 8.76 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/corporate-commercial-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/corporate-commercial-law","included","medium - verify current law and facts before publication","image and alt present in Sanity","hidden/not approved","merge into existing stronger live page",""
"67","https://chamanlawfirm.com/conditions-for-granting-injunctions-and-types-of-injunctions/","Conditions For Granting Injunctions And Types Of Injunctions","Conditions For Granting Injunctions And Types Of Injunctions","CONDITIONS FOR GRANTING INJUNCTIONS AND TYPES OF INJUNCTIONS An injunction is a remedy granted by the court that prohibits someone from a threatened wrong or the continuation of a wrongful course of action that has alr","litigation/ADR","redirect configured to /practice-areas/litigation-dispute-resolution","164 clicks; 3033 impressions; avg position 9.29 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/litigation-dispute-resolution","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution","included","low/medium - editorial and legal review still required","image recovery needed","hidden/not approved","merge into existing stronger live page",""
"69","https://chamanlawfirm.com/how-to-verify-land-title-before-buying-land/","How To Verify Land Title Before Buying Land","","","property/title","redirect configured to /practice-areas/property-real-estate-law/property-verification","154 clicks; 8738 impressions; avg position 6.08 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/property-real-estate-law/property-verification","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law/property-verification","included","medium - verify current law and facts before publication","image recovery needed","not restored","merge into existing stronger live page",""
"73","https://chamanlawfirm.com/overview-of-the-concept-recovery-of-premises/","Overview Of The Concept Recovery Of Premises","Powerful Steps: Overview of the Concept Recovery of Premises","Get an Overview of the Concept Recovery of Premises in Lagos State, covering legal processes, tenant eviction, and landlord rights under the law.","property/title","redirect configured to /practice-areas/property-real-estate-law","151 clicks; 8920 impressions; avg position 9.6 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/property-real-estate-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","low/medium - editorial and legal review still required","image and alt present in Sanity","hidden/not approved","merge into existing stronger live page",""
"74","https://chamanlawfirm.com/how-do-i-legally-evict-a-tenant-in-ogun-state/","How Do I Legally Evict A Tenant In Ogun State","How Do I Legally Evict a Tenant in Ogun State?","How Do I Legally Evict a Tenant in Ogun State? A Step-by-Step Guide for Landlords Under Ogun State Tenancy Law Introduction Evicting a tenant can be one of the most difficult and stressful situations a landlord in Ogu...","property/title","redirect configured to /practice-areas/property-real-estate-law","151 clicks; 4331 impressions; avg position 4.79 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/property-real-estate-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","high - lawyer review required before publication","image recovery needed","hidden/not approved","merge into existing stronger live page",""
"76","https://chamanlawfirm.com/how-to-apply-for-certificate-of-good-conduct-in-nigeria/","How To Apply For Certificate Of Good Conduct In Nigeria","","","general legal education","live 404","150 clicks; 8056 impressions; avg position 7.41 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/how-to-apply-for-certificate-of-good-conduct-in-nigeria","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/how-to-apply-for-certificate-of-good-conduct-in-nigeria","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"77","https://chamanlawfirm.com/overview-of-latches-and-acquiescence/","Overview Of Latches And Acquiescence","","","general legal education","redirect configured to /practice-areas/litigation-dispute-resolution","149 clicks; 9158 impressions; avg position 11.59 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/litigation-dispute-resolution","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution","included","low/medium - editorial and legal review still required","image recovery needed","not restored","merge into existing stronger live page",""
"78","https://chamanlawfirm.com/land-grabbing-the-legal-consequences-of/","Land Grabbing The Legal Consequences Of","Severe Repercussions of Land Grabbing in Nigeria: What Property Owners Must Know","The Legal Consequences of Land Grabbing in Nigeria: What Property Owners Must Know...","property/title","redirect configured to /practice-areas/property-real-estate-law","148 clicks; 7395 impressions; avg position 9.15 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/property-real-estate-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","medium - verify current law and facts before publication","image and alt present in Sanity","hidden/not approved","merge into existing stronger live page",""
"79","https://chamanlawfirm.com/is-police-bail-free-in-nigeria/","Is Police Bail Free In Nigeria","","","litigation/ADR","redirect configured to /practice-areas/litigation-dispute-resolution","146 clicks; 13323 impressions; avg position 10.55 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/litigation-dispute-resolution","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution","included","high - lawyer review required before publication","image recovery needed","not restored","merge into existing stronger live page",""
"81","https://chamanlawfirm.com/powerful-steps-sources-of-tax-law-in-nigeria/","Powerful Steps Sources Of Tax Law In Nigeria","Powerful Steps: Sources of Tax Law in Nigeria","Understanding Sources of Tax Law in Nigeria can be divided into primary and secondary sources.","corporate/commercial","redirect configured to /practice-areas/corporate-commercial-law","146 clicks; 9857 impressions; avg position 23.32 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/corporate-commercial-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/corporate-commercial-law","included","medium - verify current law and facts before publication","image and alt present in Sanity","hidden/not approved","merge into existing stronger live page",""
"82","https://chamanlawfirm.com/the-nigerian-legal-system/","The Nigerian Legal System","","","general legal education","live 404","145 clicks; 21767 impressions; avg position 24.88 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/the-nigerian-legal-system","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/the-nigerian-legal-system","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"85","https://chamanlawfirm.com/cost-of-building-approval-chaman-law-firm/","Cost Of Building Approval Chaman Law Firm","Powerful Steps: Cost of Building Approval / Chaman Law Firm","Cost of building approval in Ogun? Find out the estimated cost of obtaining building approval and other costs that influence total expenses.","general legal education","redirect configured to /practice-areas/property-real-estate-law","142 clicks; 5152 impressions; avg position 4.55 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/property-real-estate-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","low/medium - editorial and legal review still required","image recovery needed","hidden/not approved","merge into existing stronger live page",""
"87","https://chamanlawfirm.com/property-how-to-place-a-caveat/","Property How To Place A Caveat","Property How To Place A Caveat","Secure Your Property Rights; How to Place a Caveat on a Property in Ogun State, Nigeria","property/title","redirect configured to /practice-areas/property-real-estate-law","140 clicks; 4283 impressions; avg position 9.89 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/property-real-estate-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","medium - verify current law and facts before publication","image and alt present in Sanity","hidden/not approved","merge into existing stronger live page",""
"88","https://chamanlawfirm.com/tthe-legal-rights-of-a-wife-after-divorce/","Tthe Legal Rights Of A Wife After Divorce","","","family law","redirect configured to /practice-areas/family-law","138 clicks; 7285 impressions; avg position 14.29 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/family-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/family-law","included","high - lawyer review required before publication","image recovery needed","not restored","merge into existing stronger live page",""
"90","https://chamanlawfirm.com/can-a-landlord-increase-rent-arbitrarily-in-ogun/","Can A Landlord Increase Rent Arbitrarily In Ogun","Powerful Steps: Can a Landlord Increase Rent Arbitrarily","Increase Rent Arbitrarily - Learn when and how rent can be increased lawfully and what tenants can do if they believe a rent hike is unfair in Ogun","property/title","redirect configured to /practice-areas/property-real-estate-law","136 clicks; 4178 impressions; avg position 7.4 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/property-real-estate-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","medium - verify current law and facts before publication","image and alt present in Sanity","hidden/not approved","merge into existing stronger live page",""
"92","https://chamanlawfirm.com/nigeria-prohibited-items-list/","Nigeria Prohibited Items List","","","general legal education","live 404","127 clicks; 21883 impressions; avg position 11.78 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/nigeria-prohibited-items-list","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/nigeria-prohibited-items-list","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"93","https://chamanlawfirm.com/types-of-parties-to-a-civil-action/","Types Of Parties To A Civil Action","","","general legal education","redirect configured to /practice-areas/litigation-dispute-resolution","127 clicks; 7219 impressions; avg position 13.35 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/litigation-dispute-resolution","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution","included","low/medium - editorial and legal review still required","image recovery needed","not restored","merge into existing stronger live page",""
"96","https://chamanlawfirm.com/powerful-steps-valid-survey/","Powerful Steps Valid Survey","","","property/title","redirect configured to /practice-areas/property-real-estate-law","120 clicks; 4234 impressions; avg position 5.87 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/property-real-estate-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","low/medium - editorial and legal review still required","image recovery needed","not restored","merge into existing stronger live page",""
"98","https://chamanlawfirm.com/understanding-rent-increase-laws-in-lagos/","Understanding Rent Increase Laws In Lagos","","","property/title","redirect configured to /practice-areas/property-real-estate-law","115 clicks; 27541 impressions; avg position 5.93 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/property-real-estate-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","low/medium - editorial and legal review still required","image recovery needed","not restored","merge into existing stronger live page",""
"100","https://chamanlawfirm.com/deed-of-assignment-in-nigeria/","Deed Of Assignment In Nigeria","deed of assignment best registration procedures","THE STEPS FOR REGISTRATION OF DEED OF ASSIGNMENT IN NIGERIA The consent of the Governor is important before...","property/title","redirect configured to /practice-areas/property-real-estate-law","114 clicks; 5572 impressions; avg position 9.99 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/property-real-estate-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","low/medium - editorial and legal review still required","image and alt present in Sanity","hidden/not approved","merge into existing stronger live page",""
"102","https://chamanlawfirm.com/legal-implications-of-joint-property/","Legal Implications Of Joint Property","Legal Implications Of Joint Property; Essential Avoidable Legal Traps in Joint Property Ownership in Nigeria","Legal Implications Of Joint Property Joint ownership implies that two or more individuals share ownership rights over the same property. The implication is that...","property/title","hidden Sanity draft; do not redirect","112 clicks; 5574 impressions; avg position 8.86 from local GSC Pages.csv","not available locally","Sanity image present","/resources/blog/legal-implications-of-joint-property","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/legal-implications-of-joint-property","not included until restored/approved or static target exists","medium - verify current law and facts before publication","image and alt present in Sanity","hidden/not approved","keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",""
"103","https://chamanlawfirm.com/enforcing-fundamental-human-right/","Enforcing Fundamental Human Right","","","general legal education","live 404","110 clicks; 5894 impressions; avg position 15.78 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/enforcing-fundamental-human-right","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/enforcing-fundamental-human-right","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"104","https://chamanlawfirm.com/revocation-of-power-of-attorney/","Revocation Of Power Of Attorney","","","general legal education","live 404","110 clicks; 3208 impressions; avg position 11.71 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/revocation-of-power-of-attorney","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/revocation-of-power-of-attorney","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"106","https://chamanlawfirm.com/documents-apostilled-in-nigeria/","Documents Apostilled In Nigeria","","","notary/documentation","live 404","108 clicks; 16563 impressions; avg position 6.04 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/notary-public-services","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/notary-public-services","included","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"108","https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/","Rights Of A Property Owner In Nigeria","","","property/title","live 404","105 clicks; 7442 impressions; avg position 12.78 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/rights-of-a-property-owner-in-nigeria","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/rights-of-a-property-owner-in-nigeria","not included until restored/approved or static target exists","medium - verify current law and facts before publication","image recovery needed","not restored","restore as blog post",""
"109","https://chamanlawfirm.com/the-concept-of-restitution-of-conjugal-rights/","The Concept Of Restitution Of Conjugal Rights","","","general legal education","live 404","103 clicks; 12073 impressions; avg position 12.22 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/the-concept-of-restitution-of-conjugal-rights","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/the-concept-of-restitution-of-conjugal-rights","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"110","https://chamanlawfirm.com/5-lis-pendens-understanding-the-doctrine/","5 Lis Pendens Understanding The Doctrine","","","general legal education","live 404","103 clicks; 5850 impressions; avg position 8.26 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/5-lis-pendens-understanding-the-doctrine","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/5-lis-pendens-understanding-the-doctrine","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
