slug,old_title,final_title,title_fixed,body_enhanced,reason
breach-of-promise-to-marriage-in-nigeria,Breach of Promise To Marriage In Nigeria,Breach of Promise To Marriage in Nigeria,yes,no,stronger existing practice/service page is the safer target
proven-steps-onoverview-of-the-child-right-act,Onoverview of the Child Right Act,Onoverview of the Child Right Act,no,no,stronger existing practice/service page is the safer target
clauses-for-drafting-a-tenancy-agreement,Clauses For Drafting A Tenancy Agreement,Clauses For Drafting A Tenancy Agreement,no,no,stronger existing practice/service page is the safer target
right-of-an-illegitimate-child,Right of An Illegitimate Child,Right of An Illegitimate Child,no,no,stronger existing practice/service page is the safer target
limitation-of-action-in-nigeria,Limitation of Action In Nigeria,Limitation of Action in Nigeria,yes,no,stronger existing practice/service page is the safer target
tenancy-dispute-resolution-in-ogun-state,Tenancy Dispute Resolution In Ogun State,Tenancy Dispute Resolution in Ogun State,yes,no,stronger existing practice/service page is the safer target
how-long-does-it-take-to-get-c-of-o-in-ogun-sta,How Long Does It Take To Get C Of O In Ogun Sta,How Long Does It Take To Get C Of O in Ogun Sta,yes,no,stronger existing practice/service page is the safer target
survey-plans-and-certificates-of-occupancy,Survey Plans And Certificates Of Occupancy,Survey Plans And Certificates Of Occupancy,no,no,stronger existing practice/service page is the safer target
powerful-steps-what-is-trespass-to-land,Powerful Steps What Is Trespass To Land,What Is Trespass To Land,yes,no,stronger existing practice/service page is the safer target
issues-land-grabbing-and-encroachment-in-nigeria,Issues Land Grabbing And Encroachment In Nigeria,Issues Land Grabbing And Encroachment in Nigeria,yes,no,stronger existing practice/service page is the safer target
guardianship-and-custody-rights-of-minors,Guardianship And Custody Rights Of Minors,Guardianship And Custody Rights Of Minors,no,no,stronger existing practice/service page is the safer target
corporate-affairs-commission-in-nigeria,Corporate Affairs Commission In Nigeria,Corporate Affairs Commission in Nigeria,yes,no,stronger existing practice/service page is the safer target
what-makes-a-valid-employment-contract-in-nigeria,What Makes a Valid Employment Contract in Nigeria?,What Makes a Valid Employment Contract in Nigeria?,no,no,stronger existing practice/service page is the safer target
accountability-in-corporate-governance-in-nigeria,Accountability in Corporate Governance in Nigeria,Accountability in Corporate Governance in Nigeria,no,no,stronger existing practice/service page is the safer target
business-name-and-a-company-limited-by-shares,Business Name vs Company Limited by Shares in Nigeria,Business Name vs Company Limited by Shares in Nigeria,no,no,stronger existing practice/service page is the safer target
legal-aspects-of-employment-contracts,Legal Aspects of Employment Contracts in Nigeria,Legal Aspects of Employment Contracts in Nigeria,no,no,stronger existing practice/service page is the safer target
ultimate-legal-guide-to-buying-land-in-nigeria,Ultimate Legal Guide To Buying Land In Nigeria,Ultimate Legal Guide To Buying Land in Nigeria,yes,no,stronger existing practice/service page is the safer target
registering-property-titles-in-nigeria,Registering Property Titles In Nigeria,Registering Property Titles in Nigeria,yes,no,stronger existing practice/service page is the safer target
real-estate-and-property-law,Real Estate And Property Law,Real Estate And Property Law,no,no,stronger existing practice/service page is the safer target
nigerian-shipping-contracts,Nigerian Shipping Contracts,Nigerian Shipping Contracts,no,no,stronger existing practice/service page is the safer target
debt-recovery-and-consumer-protection-laws,Debt Recovery And Consumer Protection Laws,Debt Recovery And Consumer Protection Laws,no,no,stronger existing practice/service page is the safer target
property-how-to-place-a-caveat,Property How To Place A Caveat,Property How To Place A Caveat,no,no,stronger existing practice/service page is the safer target
can-a-landlord-increase-rent-arbitrarily-in-ogun,Can A Landlord Increase Rent Arbitrarily In Ogun,Can A Landlord Increase Rent Arbitrarily in Ogun,yes,no,stronger existing practice/service page is the safer target
void-and-voidable-marriages-in-nigeria,Void and Voidable Marriages in Nigeria: Understanding Legal Implications,Void and Voidable Marriages in Nigeria: Understanding Legal Implications,no,no,stronger existing practice/service page is the safer target
the-overall-list-of-federal-laws-in-nigeria,The Overall List of Federal Laws In Nigeria,Key Federal Laws in Nigeria: A Legal Reference Guide,yes,no,redirect conflict - keep hidden
stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping and Up-Stamping of A Mortgage Document,What Is Stamping and Up-Stamping of A Mortgage Document,no,no,stronger existing practice/service page is the safer target
land-use-act-1978,Understanding the Land Use Act: How It Affects You,Understanding the Land Use Act: How It Affects You,no,no,stronger existing practice/service page is the safer target
how-to-obtain-tax-clearance-certificate,How To Obtain Tax Clearance Certificate,How To Obtain Tax Clearance Certificate,no,no,stronger existing practice/service page is the safer target
landlords-and-tenants-in-nigeria,Landlords and Tenants In Nigeria,Landlords and Tenants in Nigeria,yes,no,stronger existing practice/service page is the safer target
doctrine-of-ultra-vires,Understanding the Doctrine of Ultra Vires: A Legal Safeguard For Businesses,Understanding the Doctrine of Ultra Vires: A Legal Safeguard For Businesses,no,no,stronger existing practice/service page is the safer target
land-registration-system-in-nigeria,Land Registration System In Nigeria,Land Registration System in Nigeria,yes,no,stronger existing practice/service page is the safer target
lagos-tenancy-fixed-and-periodic-tenancies,Lagos Tenancy Fixed and Periodic Tenancies,Lagos Tenancy Fixed and Periodic Tenancies,no,no,stronger existing practice/service page is the safer target
board-of-directors-in-nigerian-companies,The Strategic Power of the Board Directors In Nigerian Companies- For A Successful Business,The Strategic Power of the Board Directors in Nigerian Companies- For A Successful Business,yes,no,stronger existing practice/service page is the safer target
how-to-file-a-lawsuit-in-nigeria,How To File A Lawsuit In Nigeria,How To File A Lawsuit in Nigeria,yes,no,stronger existing practice/service page is the safer target
how-to-apply-for-certificate-of-good-conduct-in-nigeria,How To Apply For Certificate of Good Conduct In Nigeria,How To Apply For Certificate of Good Conduct in Nigeria,yes,no,stronger existing practice/service page is the safer target
of-the-securities-and-exchange-commission,5 Functions of the Securities and Exchange Commission,5 Functions of the Securities and Exchange Commission,no,no,stronger existing practice/service page is the safer target
challenges-of-implementing-the-land-use-act,Challenges of Implementing the Land Use Act,Challenges of Implementing the Land Use Act,no,no,stronger existing practice/service page is the safer target
expert-witnesses-in-nigeria-court-proceeding,Expert Witnesses In Nigeria Court Proceeding,Expert Witnesses in Nigeria Court Proceeding,yes,no,stronger existing practice/service page is the safer target
