slug,public_records_before,canonical_record,secondary_record,unique_content_merged,secondary_final_status,public_records_after,result
enhancing-nigerian-immigration-security-2,2,chamanlawfirm-legacy-public-enhancing-nigerian-immigration-security-2,chamanlawfirm-sprint10t-enhancing-nigerian-immigration-security-2,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
corporate-tax-obligations-in-nigeria,2,chamanlawfirm-legacy-public-corporate-tax-obligations-in-nigeria,chamanlawfirm-sprint10q-corporate-tax-obligations-in-nigeria,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
managing-corporate-reputation,2,chamanlawfirm-legacy-public-managing-corporate-reputation,chamanlawfirm-sprint10t-managing-corporate-reputation,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
what-are-the-penalties-for-fake-land-documents,2,chamanlawfirm-legacy-public-what-are-the-penalties-for-fake-land-documents,chamanlawfirm-sprint10n-what-are-the-penalties-for-fake-land-documents,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
the-role-of-regulatory-bodies,2,chamanlawfirm-legacy-public-the-role-of-regulatory-bodies,chamanlawfirm-sprint11l-the-role-of-regulatory-bodies,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
difference-between-excision-gazette-c-of-o,2,chamanlawfirm-legacy-public-difference-between-excision-gazette-c-of-o,chamanlawfirm-sprint10n-difference-between-excision-gazette-c-of-o,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
family-law-issues-for-expatriate-families,2,chamanlawfirm-legacy-public-family-law-issues-for-expatriate-families,chamanlawfirm-sprint10o-family-law-issues-for-expatriate-families,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
how-to-legally-subdivide-and-develop-land,2,chamanlawfirm-legacy-public-how-to-legally-subdivide-and-develop-land,chamanlawfirm-sprint10j-how-to-legally-subdivide-and-develop-land,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
corporate-debt-management-practices,2,chamanlawfirm-legacy-public-corporate-debt-management-practices,chamanlawfirm-sprint10t-corporate-debt-management-practices,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
child-support-and-maintenance-payment,2,chamanlawfirm-legacy-public-child-support-and-maintenance-payment,chamanlawfirm-sprint10g-child-support-and-maintenance-payment,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
immigration-service-in-border-management,2,chamanlawfirm-legacy-public-immigration-service-in-border-management,chamanlawfirm-sprint10j-immigration-service-in-border-management,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
compliance-with-debt-recovery-regulations,2,chamanlawfirm-legacy-public-compliance-with-debt-recovery-regulations,chamanlawfirm-sprint10o-compliance-with-debt-recovery-regulations,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
