slug,old_image,selected_image,image_source,topic_match,alt_text,patched,remaining_issue
clauses-for-drafting-a-tenancy-agreement,image-8faff0319216f8712f943c6963dfacc1f1f1727c-752x450-jpg,image-8faff0319216f8712f943c6963dfacc1f1f1727c-752x450-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
right-of-an-illegitimate-child,image-1c821029d8c6a0fb16c57f972aeca90942675a59-2000x869-webp,image-1c821029d8c6a0fb16c57f972aeca90942675a59-2000x869-webp,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
limitation-of-action-in-nigeria,image-bbdf4ade75186ae963e8e02e28a248d40d7485da-326x155-jpg,image-bbdf4ade75186ae963e8e02e28a248d40d7485da-326x155-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
tenancy-dispute-resolution-in-ogun-state,image-9d5f79cd80348cae65ee58f2a11ef65299746a29-1170x627-png,image-9d5f79cd80348cae65ee58f2a11ef65299746a29-1170x627-png,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
how-long-does-it-take-to-get-c-of-o-in-ogun-sta,image-e51a67076e511fde726098f8225131f25cd6ccb7-768x456-webp,image-e51a67076e511fde726098f8225131f25cd6ccb7-768x456-webp,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
survey-plans-and-certificates-of-occupancy,image-5fda22e9655feec757ff4ebfa1b516d3899d15fc-675x400-jpg,image-5fda22e9655feec757ff4ebfa1b516d3899d15fc-675x400-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
powerful-steps-what-is-trespass-to-land,image-f01dfd52b275049f3c53850d509c9836e5c824b7-768x512-jpg,image-f01dfd52b275049f3c53850d509c9836e5c824b7-768x512-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
issues-land-grabbing-and-encroachment-in-nigeria,image-af51f0a76c24412da19a33ca996dbd037991e337-768x357-png,image-af51f0a76c24412da19a33ca996dbd037991e337-768x357-png,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
guardianship-and-custody-rights-of-minors,image-09d948af72a0271e4d1260d96a2682384efee0b6-1170x694-webp,image-09d948af72a0271e4d1260d96a2682384efee0b6-1170x694-webp,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
corporate-affairs-commission-in-nigeria,image-f54dbc5d3114a417fccfad52a540e00526f76d23-768x456-png,image-f54dbc5d3114a417fccfad52a540e00526f76d23-768x456-png,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
what-makes-a-valid-employment-contract-in-nigeria,image-3c25ebd99c0bf97ec06259dbdb02a2aae228afd7-1080x608-jpg,image-3c25ebd99c0bf97ec06259dbdb02a2aae228afd7-1080x608-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
accountability-in-corporate-governance-in-nigeria,image-9dde1cdebda82af8c1b20353c3918fefd57933c6-1024x694-jpg,image-9dde1cdebda82af8c1b20353c3918fefd57933c6-1024x694-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
business-name-and-a-company-limited-by-shares,image-9e02b28d4382c55fc16e9ad852cc6f10baf96c3d-768x512-jpg,image-9e02b28d4382c55fc16e9ad852cc6f10baf96c3d-768x512-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
legal-aspects-of-employment-contracts,image-8ce0c4d33a51f051733da78c2fc54cc4fb7fb9a4-1170x694-webp,image-8ce0c4d33a51f051733da78c2fc54cc4fb7fb9a4-1170x694-webp,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
ultimate-legal-guide-to-buying-land-in-nigeria,image-3190b6a7aca5b28f2e6cd7107eb534011d4c550b-1536x1024-png,image-3190b6a7aca5b28f2e6cd7107eb534011d4c550b-1536x1024-png,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
registering-property-titles-in-nigeria,image-afa4d11708876b11800ba78a59e5359ea14a5cfe-1170x627-jpg,image-afa4d11708876b11800ba78a59e5359ea14a5cfe-1170x627-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
real-estate-and-property-law,image-965451172a32c16a5c34e534c12fddc46919cdfd-1170x694-jpg,image-965451172a32c16a5c34e534c12fddc46919cdfd-1170x694-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
nigerian-shipping-contracts,image-0d677cafc431b3082698dd9a4caaa7845be7a85c-600x316-jpg,image-0d677cafc431b3082698dd9a4caaa7845be7a85c-600x316-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
debt-recovery-and-consumer-protection-laws,image-ac9fce496edb5625a0e3b406ed6970a32e0348d5-293x172-png,image-ac9fce496edb5625a0e3b406ed6970a32e0348d5-293x172-png,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
property-how-to-place-a-caveat,image-965451172a32c16a5c34e534c12fddc46919cdfd-1170x694-jpg,image-965451172a32c16a5c34e534c12fddc46919cdfd-1170x694-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
can-a-landlord-increase-rent-arbitrarily-in-ogun,image-28469818365a52cd5cb32118b004da2d9ff494fa-1170x694-png,image-28469818365a52cd5cb32118b004da2d9ff494fa-1170x694-png,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
void-and-voidable-marriages-in-nigeria,image-835326f4c0603bc448f56dc24cf4915b6a758c2f-720x433-webp,image-835326f4c0603bc448f56dc24cf4915b6a758c2f-720x433-webp,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
the-overall-list-of-federal-laws-in-nigeria,image-ca0eee78ff2afb96b43086260a5ae1deb8ab26a8-1080x608-webp,image-ca0eee78ff2afb96b43086260a5ae1deb8ab26a8-1080x608-webp,existing Sanity/legacy image,not required for redirect/hold,,no,redirect conflict - keep hidden
stamping-and-up-stamping-of-a-mortgage-document,image-0b53d32653a89d6f01d944a79c1fff125afdfd46-1536x1024-png,image-0b53d32653a89d6f01d944a79c1fff125afdfd46-1536x1024-png,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
land-use-act-1978,image-42cb9df07e572ee9c4fd361caeeb0350f894cf36-614x309-jpg,image-42cb9df07e572ee9c4fd361caeeb0350f894cf36-614x309-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
how-to-obtain-tax-clearance-certificate,image-506cad03972282b82faf8d62f13b14e534b349df-768x456-jpg,image-506cad03972282b82faf8d62f13b14e534b349df-768x456-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
landlords-and-tenants-in-nigeria,image-ccb78afe5cbb8b25a65e50fe21bb85149aaa046f-1170x694-webp,image-ccb78afe5cbb8b25a65e50fe21bb85149aaa046f-1170x694-webp,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
doctrine-of-ultra-vires,image-3f500b94fcc7d64c1db6f5617f112cdadd8e82c8-600x556-png,image-3f500b94fcc7d64c1db6f5617f112cdadd8e82c8-600x556-png,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
land-registration-system-in-nigeria,image-11a43ab3566d53d8e8b3c6b965af420a810e85fe-1024x450-jpg,image-11a43ab3566d53d8e8b3c6b965af420a810e85fe-1024x450-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
lagos-tenancy-fixed-and-periodic-tenancies,,,not patched,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
board-of-directors-in-nigerian-companies,image-3f500b94fcc7d64c1db6f5617f112cdadd8e82c8-600x556-png,image-3f500b94fcc7d64c1db6f5617f112cdadd8e82c8-600x556-png,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
how-to-file-a-lawsuit-in-nigeria,image-aaef6fef01801a4c381e22135b40aca89a88688e-1024x536-webp,image-aaef6fef01801a4c381e22135b40aca89a88688e-1024x536-webp,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
how-to-apply-for-certificate-of-good-conduct-in-nigeria,image-aa832ade993435db5834852b14c47b14a718cb0b-768x456-png,image-aa832ade993435db5834852b14c47b14a718cb0b-768x456-png,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
of-the-securities-and-exchange-commission,image-3f500b94fcc7d64c1db6f5617f112cdadd8e82c8-600x556-png,image-3f500b94fcc7d64c1db6f5617f112cdadd8e82c8-600x556-png,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
challenges-of-implementing-the-land-use-act,image-371b76d6db9aa1249d83510876ff1f54663f77bc-900x600-jpg,image-371b76d6db9aa1249d83510876ff1f54663f77bc-900x600-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
expert-witnesses-in-nigeria-court-proceeding,image-d8527d98ddb6b1c2f383c0070720b7ac46f34c7d-980x605-jpg,image-d8527d98ddb6b1c2f383c0070720b7ac46f34c7d-980x605-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
