"priority","legacy_url","source_path","destination_path","new_canonical","recommended_status","implementation_status","notes"
"18","https://chamanlawfirm.com/rights-of-tenants-in-ogun-chaman-law-firm/","/rights-of-tenants-in-ogun-chaman-law-firm/","/resources/blog/rights-of-tenants-in-ogun-chaman-law-firm","https://chamanlawfirm.com/resources/blog/rights-of-tenants-in-ogun-chaman-law-firm","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"19","https://chamanlawfirm.com/transfer-of-company-shares-in-nigeria/","/transfer-of-company-shares-in-nigeria/","/resources/blog/transfer-of-company-shares-in-nigeria","https://chamanlawfirm.com/resources/blog/transfer-of-company-shares-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"20","https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria/","/the-overall-list-of-federal-laws-in-nigeria/","/resources/blog/the-overall-list-of-federal-laws-in-nigeria","https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"21","https://chamanlawfirm.com/the-duties-of-lawyers-to-client/","/the-duties-of-lawyers-to-client/","/resources/blog/the-duties-of-lawyers-to-client","https://chamanlawfirm.com/resources/blog/the-duties-of-lawyers-to-client","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"22","https://chamanlawfirm.com/statute-of-limitations-on-debt-in-nigeria/","/statute-of-limitations-on-debt-in-nigeria/","/resources/blog/statute-of-limitations-on-debt-in-nigeria","https://chamanlawfirm.com/resources/blog/statute-of-limitations-on-debt-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"23","https://chamanlawfirm.com/is-foreign-marriage-under-the-nigerian-law/","/is-foreign-marriage-under-the-nigerian-law/","/resources/blog/is-foreign-marriage-under-the-nigerian-law","https://chamanlawfirm.com/resources/blog/is-foreign-marriage-under-the-nigerian-law","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"24","https://chamanlawfirm.com/powerful-steps-what-is-trespass-to-land-2/","/powerful-steps-what-is-trespass-to-land-2/","/resources/blog/powerful-steps-what-is-trespass-to-land-2","https://chamanlawfirm.com/resources/blog/powerful-steps-what-is-trespass-to-land-2","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"25","https://chamanlawfirm.com/abandonment-and-withdrew-of-court-action/","/abandonment-and-withdrew-of-court-action/","/resources/blog/abandonment-and-withdrew-of-court-action","https://chamanlawfirm.com/resources/blog/abandonment-and-withdrew-of-court-action","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"26","https://chamanlawfirm.com/land-grabbing-the-legal-consequences-of/","/land-grabbing-the-legal-consequences-of/","/resources/blog/land-grabbing-the-legal-consequences-of","https://chamanlawfirm.com/resources/blog/land-grabbing-the-legal-consequences-of","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"27","https://chamanlawfirm.com/how-do-i-legally-evict-a-tenant-in-ogun-state/","/how-do-i-legally-evict-a-tenant-in-ogun-state/","/resources/blog/how-do-i-legally-evict-a-tenant-in-ogun-state","https://chamanlawfirm.com/resources/blog/how-do-i-legally-evict-a-tenant-in-ogun-state","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"28","https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document/","/stamping-and-up-stamping-of-a-mortgage-document/","/resources/blog/stamping-and-up-stamping-of-a-mortgage-document","https://chamanlawfirm.com/resources/blog/stamping-and-up-stamping-of-a-mortgage-document","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"29","https://chamanlawfirm.com/cost-of-building-approval-chaman-law-firm/","/cost-of-building-approval-chaman-law-firm/","/resources/blog/cost-of-building-approval-chaman-law-firm","https://chamanlawfirm.com/resources/blog/cost-of-building-approval-chaman-law-firm","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"30","https://chamanlawfirm.com/how-to-calculate-stamp-duty-chaman-law-firm/","/how-to-calculate-stamp-duty-chaman-law-firm/","/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm","https://chamanlawfirm.com/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"31","https://chamanlawfirm.com/dissolution-of-marriage-under-the-nigeria-law/","/dissolution-of-marriage-under-the-nigeria-law/","/resources/blog/dissolution-of-marriage-under-the-nigeria-law","https://chamanlawfirm.com/resources/blog/dissolution-of-marriage-under-the-nigeria-law","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"32","https://chamanlawfirm.com/deal-with-and-bad-tenant-as-a-landlord/","/deal-with-and-bad-tenant-as-a-landlord/","/resources/blog/deal-with-and-bad-tenant-as-a-landlord","https://chamanlawfirm.com/resources/blog/deal-with-and-bad-tenant-as-a-landlord","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"33","https://chamanlawfirm.com/void-and-voidable-marriages-in-nigeria/","/void-and-voidable-marriages-in-nigeria/","/resources/blog/void-and-voidable-marriages-in-nigeria","https://chamanlawfirm.com/resources/blog/void-and-voidable-marriages-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"34","https://chamanlawfirm.com/can-a-minor-enter-into-a-valid-contract-in-nigeria/","/can-a-minor-enter-into-a-valid-contract-in-nigeria/","/resources/blog/can-a-minor-enter-into-a-valid-contract-in-nigeria","https://chamanlawfirm.com/resources/blog/can-a-minor-enter-into-a-valid-contract-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"35","https://chamanlawfirm.com/how-to-legally-sublet-a-property-in-nigeria/","/how-to-legally-sublet-a-property-in-nigeria/","/resources/blog/how-to-legally-sublet-a-property-in-nigeria","https://chamanlawfirm.com/resources/blog/how-to-legally-sublet-a-property-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"36","https://chamanlawfirm.com/how-do-i-obtain-a-certificate-of-occupancy/","/how-do-i-obtain-a-certificate-of-occupancy/","/resources/blog/how-do-i-obtain-a-certificate-of-occupancy","https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"37","https://chamanlawfirm.com/annulment-of-marriage-under-the-nigerian-law/","/annulment-of-marriage-under-the-nigerian-law/","/resources/blog/annulment-of-marriage-under-the-nigerian-law","https://chamanlawfirm.com/resources/blog/annulment-of-marriage-under-the-nigerian-law","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"38","https://chamanlawfirm.com/family-property-and-right-of-individual-member-in-family-property/","/family-property-and-right-of-individual-member-in-family-property/","/resources/blog/family-property-and-right-of-individual-member-in-family-property","https://chamanlawfirm.com/resources/blog/family-property-and-right-of-individual-member-in-family-property","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"39","https://chamanlawfirm.com/communal-land-and-family-land/","/communal-land-and-family-land/","/resources/blog/communal-land-and-family-land","https://chamanlawfirm.com/resources/blog/communal-land-and-family-land","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"40","https://chamanlawfirm.com/land-ownership-disputes-in-nigeria/","/land-ownership-disputes-in-nigeria/","/resources/blog/land-ownership-disputes-in-nigeria","https://chamanlawfirm.com/resources/blog/land-ownership-disputes-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"41","https://chamanlawfirm.com/what-are-rights-of-women-to-inheritance-in-nigeria/","/what-are-rights-of-women-to-inheritance-in-nigeria/","/resources/blog/what-are-rights-of-women-to-inheritance-in-nigeria","https://chamanlawfirm.com/resources/blog/what-are-rights-of-women-to-inheritance-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"42","https://chamanlawfirm.com/overview-of-the-concept-recovery-of-premises/","/overview-of-the-concept-recovery-of-premises/","/resources/blog/overview-of-the-concept-recovery-of-premises","https://chamanlawfirm.com/resources/blog/overview-of-the-concept-recovery-of-premises","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"43","https://chamanlawfirm.com/types-of-land-registration-in-nigeria/","/types-of-land-registration-in-nigeria/","/resources/blog/types-of-land-registration-in-nigeria","https://chamanlawfirm.com/resources/blog/types-of-land-registration-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"44","https://chamanlawfirm.com/what-to-know-about-company-resolution/","/what-to-know-about-company-resolution/","/resources/blog/what-to-know-about-company-resolution","https://chamanlawfirm.com/resources/blog/what-to-know-about-company-resolution","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"45","https://chamanlawfirm.com/legal-implications-of-joint-property/","/legal-implications-of-joint-property/","/resources/blog/legal-implications-of-joint-property","https://chamanlawfirm.com/resources/blog/legal-implications-of-joint-property","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"46","https://chamanlawfirm.com/what-is-the-process-of-land-acquisition/","/what-is-the-process-of-land-acquisition/","/resources/blog/what-is-the-process-of-land-acquisition","https://chamanlawfirm.com/resources/blog/what-is-the-process-of-land-acquisition","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"47","https://chamanlawfirm.com/the-role-of-family-court-in-relation-to-child-protect-in-nigeria/","/the-role-of-family-court-in-relation-to-child-protect-in-nigeria/","/resources/blog/the-role-of-family-court-in-relation-to-child-protect-in-nigeria","https://chamanlawfirm.com/resources/blog/the-role-of-family-court-in-relation-to-child-protect-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"48","https://chamanlawfirm.com/pohistory-of-legal-profession-in-nigeria/","/pohistory-of-legal-profession-in-nigeria/","/resources/blog/pohistory-of-legal-profession-in-nigeria","https://chamanlawfirm.com/resources/blog/pohistory-of-legal-profession-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"49","https://chamanlawfirm.com/legal-obligations-for-debt-collectors/","/legal-obligations-for-debt-collectors/","/resources/blog/legal-obligations-for-debt-collectors","https://chamanlawfirm.com/resources/blog/legal-obligations-for-debt-collectors","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"50","https://chamanlawfirm.com/how-to-legally-evict-a-tenant-in-lagos-state/","/how-to-legally-evict-a-tenant-in-lagos-state/","/resources/blog/how-to-legally-evict-a-tenant-in-lagos-state","https://chamanlawfirm.com/resources/blog/how-to-legally-evict-a-tenant-in-lagos-state","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
