source,slash_variant,status,target,target_status,redirect_count,chain,loop,homepage_dump,hidden_target,404_target,canonical_match,sitemap_target,result
/governors-consent,/governors-consent/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/governors-consent-how-long-does-it-take,/governors-consent-how-long-does-it-take/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/guide-for-transfer-of-land-ownership-and,/guide-for-transfer-of-land-ownership-and/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-do-i-legally-evict-a-tenant-in-ogun-state,/how-do-i-legally-evict-a-tenant-in-ogun-state/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-do-i-obtain-a-certificate-of-occupancy,/how-do-i-obtain-a-certificate-of-occupancy/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-do-i-process-survey-plan-approval-in-ogun,/how-do-i-process-survey-plan-approval-in-ogun/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-do-i-regularize-land-documents-in-ogun-state,/how-do-i-regularize-land-documents-in-ogun-state/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-nigerian-courts-handle-electronic-evidence,/how-nigerian-courts-handle-electronic-evidence/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-apply-and-get-a-governors-consent,/how-to-apply-and-get-a-governors-consent/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-apply-for-letter-of-administration,/how-to-apply-for-letter-of-administration/,308,/practice-areas/probate-estate-administration,200,1,no,no,no,no,no,not checked in redirect sample,no,PASS
/how-to-appoint-a-company-secretary-in-nigeria,/how-to-appoint-a-company-secretary-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-calculate-stamp-duty-chaman-law-firm,/how-to-calculate-stamp-duty-chaman-law-firm/,308,/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm,200,1,no,no,no,no,no,not checked in redirect sample,no,PASS
/how-to-conduct-search-at-land-registry,/how-to-conduct-search-at-land-registry/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-draft-legal-contract,/how-to-draft-legal-contract/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-file-complaint-against-police-officers-in-nigeria,/how-to-file-complaint-against-police-officers-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-file-for-child-custody-in-nigeria-a,/how-to-file-for-child-custody-in-nigeria-a/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-increase-a-company-share,/how-to-increase-a-company-share/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-legalize-or-attest-a-document-in-nigeria,/how-to-legalize-or-attest-a-document-in-nigeria/,308,/practice-areas/notary-public-services/document-legalization-and-attestation,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/how-to-legally-change-a-child-surname,/how-to-legally-change-a-child-surname/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-legally-subdivide-and-develop-land,/how-to-legally-subdivide-and-develop-land/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-legally-sublet-a-property-in-nigeria,/how-to-legally-sublet-a-property-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-obtain-letter-of-administration-in-nigeria,/how-to-obtain-letter-of-administration-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-obtain-tax-clearance-certificate,/how-to-obtain-tax-clearance-certificate/,308,/practice-areas/corporate-commercial-law/tax-clearance-certificate,200,1,no,no,no,no,no,not checked in redirect sample,no,PASS
/how-to-open-a-company-bank-account-in-nigeria,/how-to-open-a-company-bank-account-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-prove-ownership-of-land-in-nigeria,/how-to-prove-ownership-of-land-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-register-a-business-name-in-nigeria-2024,/how-to-register-a-business-name-in-nigeria-2024/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-replace-a-lost-a-marriage-certificate,/how-to-replace-a-lost-a-marriage-certificate/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-secure-child-support-and-maintenance,/how-to-secure-child-support-and-maintenance/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-use-cac-public-search-for-your-business,/how-to-use-cac-public-search-for-your-business/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/how-to-verify-land-title-before-buying-land,/how-to-verify-land-title-before-buying-land/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/immigration-service-in-border-management,/immigration-service-in-border-management/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/impact-of-regulatory-changes-on-business,/impact-of-regulatory-changes-on-business/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/impact-of-trade-policies-on-nigerian-business,/impact-of-trade-policies-on-nigerian-business/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/importance-of-covenants-in-a-tenancy-agreement,/importance-of-covenants-in-a-tenancy-agreement/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/insightful-overview-of-family-law-in-nigeria,/insightful-overview-of-family-law-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/is-foreign-marriage-under-the-nigerian-law,/is-foreign-marriage-under-the-nigerian-law/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/is-police-bail-free-in-nigeria,/is-police-bail-free-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/joinder-of-parties-misjoinder-of-parties,/joinder-of-parties-misjoinder-of-parties/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/labour-and-employment-law-in-nigeria,/labour-and-employment-law-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/labour-relations-and-employment-law,/labour-relations-and-employment-law/,308,/practice-areas/employment-law,200,1,no,no,no,no,no,not checked in redirect sample,no,PASS
/labour-relations-in-nigerian-construction,/labour-relations-in-nigerian-construction/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/land-documentation-excision-vs-gazette,/land-documentation-excision-vs-gazette/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/land-grabbing-the-legal-consequences-of,/land-grabbing-the-legal-consequences-of/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/land-ownership-disputes-in-nigeria,/land-ownership-disputes-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/land-tenures-and-customary-land-tenure-systems,/land-tenures-and-customary-land-tenure-systems/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/landlord-and-tenant-relationship,/landlord-and-tenant-relationship/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/legal-aspects-of-employment-contracts,/legal-aspects-of-employment-contracts/,ERR,,200,0,no,no,no,no,no,not checked in redirect sample,no,REVIEW
/legal-implications-of-joint-property,/legal-implications-of-joint-property/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/legal-obligations-for-debt-collectors,/legal-obligations-for-debt-collectors/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/legal-processofobtaininga-deed-of-assignment,/legal-processofobtaininga-deed-of-assignment/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/legal-steps-to-take-when-our-land-has-been,/legal-steps-to-take-when-our-land-has-been/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/legalisation-authentication-of-marriage-certificate-in-nigeria,/legalisation-authentication-of-marriage-certificate-in-nigeria/,308,/resources/blog/legalisation-authentication-of-marriage-certificate-in-nigeria,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/legally-terminate-shipping-contract-in-nigeria,/legally-terminate-shipping-contract-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/letter-of-administration-in-ogun-state,/letter-of-administration-in-ogun-state/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/nigerian-visa-requirements-and-legal-guide,/nigerian-visa-requirements-and-legal-guide/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/notary-services-chaman-law-firm,/notary-services-chaman-law-firm/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/obtain-letter-of-administration,/obtain-letter-of-administration/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/obtaining-a-c-of-o-in-ogun-state,/obtaining-a-c-of-o-in-ogun-state/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/obtaining-a-certificate-of-occupancy-c-of-o,/obtaining-a-certificate-of-occupancy-c-of-o/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/obtaining-governor-consent-for-land-transactions,/obtaining-governor-consent-for-land-transactions/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/overview-of-citizenship-in-nigeria,/overview-of-citizenship-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/overview-of-latches-and-acquiescence,/overview-of-latches-and-acquiescence/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/overview-of-statutory-marriage-in-nigeria,/overview-of-statutory-marriage-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/overview-of-the-concept-recovery-of-premises,/overview-of-the-concept-recovery-of-premises/,308,/practice-areas/property-real-estate-law,200,1,no,no,no,no,no,not checked in redirect sample,no,PASS
/polygamy-and-multiple-marriages-in-nigeria,/polygamy-and-multiple-marriages-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/poven-steps-on-what-are-the-stages-of-mediation,/poven-steps-on-what-are-the-stages-of-mediation/,308,/practice-areas/adr-mediation,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/powerful-steps-sources-of-tax-law-in-nigeria,/powerful-steps-sources-of-tax-law-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/powerful-steps-valid-survey,/powerful-steps-valid-survey/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/powerful-steps-what-is-trespass-to-land-2,/powerful-steps-what-is-trespass-to-land-2/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/probate-vs-letter-of-administration-in-nigeria-key-differences-you-must-know,/probate-vs-letter-of-administration-in-nigeria-key-differences-you-must-know/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/property-how-to-place-a-caveat,/property-how-to-place-a-caveat/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/property-insurance-in-nigeria,/property-insurance-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/property-with-existing-tenants-in-nigeria,/property-with-existing-tenants-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/proven-steps-qualities-of-good-mediator,/proven-steps-qualities-of-good-mediator/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/registering-a-private-security-company,/registering-a-private-security-company/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/registration-of-a-money-lending-company,/registration-of-a-money-lending-company/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/registration-of-deed-of-assignment-in-nigeria,/registration-of-deed-of-assignment-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/registration-of-trade-union-in-nigeria,/registration-of-trade-union-in-nigeria/,308,/practice-areas/employment-law/trade-union-registration-advisory,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/regulations-understanding-of-nigerian-employment,/regulations-understanding-of-nigerian-employment/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/requirements-for-starting-a-business-in-nigeria,/requirements-for-starting-a-business-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/rights-of-a-property-owner-in-nigeria,/rights-of-a-property-owner-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/rights-of-children-born-outside-wedlock,/rights-of-children-born-outside-wedlock/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/rights-of-tenants-in-ogun-chaman-law-firm,/rights-of-tenants-in-ogun-chaman-law-firm/,308,/resources/blog/rights-of-tenants-in-ogun-chaman-law-firm,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/role-of-shareholder-in-corporate-decision-making,/role-of-shareholder-in-corporate-decision-making/,308,/practice-areas/corporate-commercial-law/shareholder-decision-making-advisory,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/role-of-stamp-duty-in-property-transactions,/role-of-stamp-duty-in-property-transactions/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/roles-of-a-mediator,/roles-of-a-mediator/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/rules-and-regulations-of-doing-business-in-niger,/rules-and-regulations-of-doing-business-in-niger/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/secure-governors-consent-in-ikoyi,/secure-governors-consent-in-ikoyi/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/sharing-of-property-after-divorce-in-nigeria,/sharing-of-property-after-divorce-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/stamping-and-up-stamping-of-a-mortgage-document,/stamping-and-up-stamping-of-a-mortgage-document/,308,/practice-areas/property-real-estate-law/mortgage-document-review,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/startup-legal-services-in-nigeria,/startup-legal-services-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/statutory-right-of-occupancy-vs-customary-right,/statutory-right-of-occupancy-vs-customary-right/,308,/resources/blog/statutory-right-of-occupancy-vs-customary-right,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/step-by-step-guide-on-how-to-conduct-a-statutory-marriage-in-nigeria,/step-by-step-guide-on-how-to-conduct-a-statutory-marriage-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/steps-to-permanent-residency-in-nigeria,/steps-to-permanent-residency-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/tax-administration-in-nigeria,/tax-administration-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/tax-clearance-certificate-in-nigeria,/tax-clearance-certificate-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/taxation-of-sole-proprietorship,/taxation-of-sole-proprietorship/,308,/resources/blog/taxation-of-sole-proprietorship,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/taxation-of-the-construction-sector-in-nigeria,/taxation-of-the-construction-sector-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/the-basics-of-statutory-right-of-occupancy,/the-basics-of-statutory-right-of-occupancy/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/the-land-use-and-allocation-committee-luac,/the-land-use-and-allocation-committee-luac/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/the-role-of-family-court-in-relation-to-child-protect-in-nigeria,/the-role-of-family-court-in-relation-to-child-protect-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/the-role-of-the-judiciary-in-nigerian-democracy,/the-role-of-the-judiciary-in-nigerian-democracy/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/to-apply-for-and-get-certificate-of-occupancy,/to-apply-for-and-get-certificate-of-occupancy/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/top-legal-services,/top-legal-services/,ERR,,200,0,no,no,no,no,no,not checked in redirect sample,no,REVIEW
/trademark-classes-in-nigeria-a-strategic-legal-guide-for-businesses,/trademark-classes-in-nigeria-a-strategic-legal-guide-for-businesses/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/tthe-legal-rights-of-a-wife-after-divorce,/tthe-legal-rights-of-a-wife-after-divorce/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/types-of-company-in-nigeria,/types-of-company-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/types-of-land-registration-in-nigeria,/types-of-land-registration-in-nigeria/,ERR,,200,0,no,no,no,no,no,not checked in redirect sample,no,REVIEW
/types-of-parties-to-a-civil-action,/types-of-parties-to-a-civil-action/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/understanding-rent-increase-laws-in-lagos,/understanding-rent-increase-laws-in-lagos/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/verify-a-property-title-in-lagos,/verify-a-property-title-in-lagos/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/void-and-voidable-marriages-in-nigeria,/void-and-voidable-marriages-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/what-are-elements-of-tax-law,/what-are-elements-of-tax-law/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/what-are-rights-of-women-to-inheritance-in-nigeria,/what-are-rights-of-women-to-inheritance-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/what-are-the-implications-of-unregistered-land-titles-in-nigeria,/what-are-the-implications-of-unregistered-land-titles-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/what-are-the-requirements-for-compulsory-acquisition-of-land-in-nigeria,/what-are-the-requirements-for-compulsory-acquisition-of-land-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/what-governs-contract-in-nigeria,/what-governs-contract-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/what-is-a-deed-of-assent-in-nigeria,/what-is-a-deed-of-assent-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/what-is-the-implication-of-quit-notice,/what-is-the-implication-of-quit-notice/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/what-is-the-process-of-land-acquisition,/what-is-the-process-of-land-acquisition/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/what-makes-up-a-valid-employment-contract,/what-makes-up-a-valid-employment-contract/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/what-to-know-about-company-resolution,/what-to-know-about-company-resolution/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/when-is-summary-dismissal-appropriate-in-nigeria-labour-law,/when-is-summary-dismissal-appropriate-in-nigeria-labour-law/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/where-marriage-under-the-act-can-be-conducted,/where-marriage-under-the-act-can-be-conducted/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/who-can-be-a-notary-public,/who-can-be-a-notary-public/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/who-holds-authority-over-land-under-the-land,/who-holds-authority-over-land-under-the-land/,308,/resources/blog/who-holds-authority-over-land-under-the-land,200,1,no,no,no,no,no,not checked in redirect sample,no,PASS
/why-is-governors-consent-compulsory,/why-is-governors-consent-compulsory/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
