priority rank,old URL,old title,old content type,current status,clicks,impressions,average position,backlink/ranking evidence,source body found,source body quality,image found,old media found,current Sanity status,current redirect status,sitemap status,page type,legal risk,current-law risk,duplicate/cannibalization risk,business value,recommended recovery path,proposed final URL,priority score,notes
11,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,How To Track A Stolen Phone In Nigeria,general legal education,live 404,689,689,,689 clicks; 48652 impressions; avg position 8.56 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,6997,Attempt recovery before rejection; keep hidden unless all publication gates pass.
12,https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/,The Ogun State Tenancy Law Chaman Law Firm,general legal education,redirect configured to /resources/blog/the-ogun-state-tenancy-law-chaman-law-firm,646,646,,646 clicks; 10043 impressions; avg position 4.93 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/the-ogun-state-tenancy-law-chaman-law-firm,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm,6466,Attempt recovery before rejection; keep hidden unless all publication gates pass.
13,https://chamanlawfirm.com/building-permit-approval-in-ogun-state/,Building Permit Approval In Ogun State,general legal education,redirect configured to /resources/blog/building-permit-approval-in-ogun-state,629,629,,629 clicks; 22729 impressions; avg position 7.58 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/building-permit-approval-in-ogun-state,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/building-permit-approval-in-ogun-state,6296,Attempt recovery before rejection; keep hidden unless all publication gates pass.
14,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria/,List Of Government Agencies Of Nigeria,general legal education,live 404,608,608,,608 clicks; 70716 impressions; avg position 15.11 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,6186,Attempt recovery before rejection; keep hidden unless all publication gates pass.
15,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/,4 Steps On How To Deal With A Bad Landlordin,property/title,redirect configured to /resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,570,570,,570 clicks; 14414 impressions; avg position 5.91 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,5706,Attempt recovery before rejection; keep hidden unless all publication gates pass.
16,https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/,Joinder Of Parties Misjoinder Of Parties,general legal education,redirect configured to /resources/blog/joinder-of-parties-misjoinder-of-parties,553,553,,553 clicks; 15775 impressions; avg position 7.7 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/joinder-of-parties-misjoinder-of-parties,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/joinder-of-parties-misjoinder-of-parties,5536,Attempt recovery before rejection; keep hidden unless all publication gates pass.
17,https://chamanlawfirm.com/how-to-change-name-with-deed-poll/,How To Change Name With Deed Poll,property/title,redirect configured to /resources/blog/how-to-change-name-with-deed-poll,531,531,,531 clicks; 24126 impressions; avg position 10.61 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/how-to-change-name-with-deed-poll,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-change-name-with-deed-poll,5315,Attempt recovery before rejection; keep hidden unless all publication gates pass.
18,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,Gain Nigerian Citizenship By Marriage,immigration,redirect configured to /practice-areas/immigration-services,505,505,,505 clicks; 34961 impressions; avg position 11.08 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /practice-areas/immigration-services,sitemap after deployment,service,high - lawyer review required before publication,high,low; service route selected to avoid weak blog duplication,high service/lead value,restore as service page,https://chamanlawfirm.com/practice-areas/immigration-services/citizenship-by-marriage-advisory,5055,Implemented in Sprint 11S as focused static/service authority page.
19,https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right/,Statutory Right Of Occupancy Vs Customary Right,general legal education,redirect configured to /resources/blog/statutory-right-of-occupancy-vs-customary-right,503,503,,503 clicks; 14711 impressions; avg position 6.28 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/statutory-right-of-occupancy-vs-customary-right,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/statutory-right-of-occupancy-vs-customary-right,5035,Attempt recovery before rejection; keep hidden unless all publication gates pass.
20,https://chamanlawfirm.com/ways-to-prove-ownership-of-land/,Ways To Prove Ownership Of Land,property/title,redirect configured to /resources/blog/ways-to-prove-ownership-of-land,442,442,,442 clicks; 28020 impressions; avg position 7.06 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/ways-to-prove-ownership-of-land,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/ways-to-prove-ownership-of-land,4424,Attempt recovery before rejection; keep hidden unless all publication gates pass.
21,https://chamanlawfirm.com/5-steps-on-how-to-obtain-restraining-order/,5 Steps On How To Obtain Restraining Order,general legal education,redirect configured to /resources/blog/5-steps-on-how-to-obtain-restraining-order,421,421,,421 clicks; 7829 impressions; avg position 5.55 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/5-steps-on-how-to-obtain-restraining-order,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/5-steps-on-how-to-obtain-restraining-order,4214,Attempt recovery before rejection; keep hidden unless all publication gates pass.
22,https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw/,Steps On How To Confidently Report Acrimelaw,general legal education,hidden Sanity draft; do not redirect,414,414,,414 clicks; 30229 impressions; avg position 5.26 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw,4144,Attempt recovery before rejection; keep hidden unless all publication gates pass.
23,https://chamanlawfirm.com/what-are-elements-of-tax-law/,What Are Elements Of Tax Law,corporate/commercial,redirect configured to /resources/blog/what-are-elements-of-tax-law,397,397,,397 clicks; 10170 impressions; avg position 9.73 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/what-are-elements-of-tax-law,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/what-are-elements-of-tax-law,3974,Attempt recovery before rejection; keep hidden unless all publication gates pass.
24,https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria/,Apply For Drivers Licence In Nigeria,general legal education,live 404,373,373,,373 clicks; 102871 impressions; avg position 10.7 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria,3834,Attempt recovery before rejection; keep hidden unless all publication gates pass.
25,https://chamanlawfirm.com/tax-administration-in-nigeria/,Tax Administration In Nigeria,corporate/commercial,redirect configured to /resources/blog/tax-administration-in-nigeria,376,376,,376 clicks; 16882 impressions; avg position 14.35 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/tax-administration-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/tax-administration-in-nigeria,3764,Attempt recovery before rejection; keep hidden unless all publication gates pass.
26,https://chamanlawfirm.com/difference-between-ownership-and-possession/,Difference Between Ownership And Possession,general legal education,redirect configured to /resources/blog/difference-between-ownership-and-possession,375,375,,375 clicks; 13367 impressions; avg position 9.89 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/difference-between-ownership-and-possession,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/difference-between-ownership-and-possession,3754,Attempt recovery before rejection; keep hidden unless all publication gates pass.
27,https://chamanlawfirm.com/community-development-associations-law/,Community Development Associations Law,general legal education,redirect configured to /resources/blog/community-development-associations-law,372,372,,372 clicks; 16011 impressions; avg position 7.53 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/community-development-associations-law,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/community-development-associations-law,3724,Attempt recovery before rejection; keep hidden unless all publication gates pass.
28,https://chamanlawfirm.com/child-support-and-maintenance-payment/,Child Support And Maintenance Payment,family law,redirect configured to /resources/blog/child-support-and-maintenance-payment,366,366,,366 clicks; 29484 impressions; avg position 6.53 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/child-support-and-maintenance-payment,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/child-support-and-maintenance-payment,3664,Attempt recovery before rejection; keep hidden unless all publication gates pass.
29,https://chamanlawfirm.com/how-to-notarize-a-document-in-nigeria/,How To Notarize A Document In Nigeria,notary/documentation,redirect configured to /resources/blog/how-to-notarize-a-document-in-nigeria,351,351,,351 clicks; 27073 impressions; avg position 8.97 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/how-to-notarize-a-document-in-nigeria,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-notarize-a-document-in-nigeria,3514,Attempt recovery before rejection; keep hidden unless all publication gates pass.
30,https://chamanlawfirm.com/how-to-replace-a-lost-a-marriage-certificate/,How To Replace A Lost A Marriage Certificate,family law,redirect configured to /resources/blog/how-to-replace-a-lost-a-marriage-certificate,336,336,,336 clicks; 7917 impressions; avg position 10.1 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/how-to-replace-a-lost-a-marriage-certificate,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-replace-a-lost-a-marriage-certificate,3363,Attempt recovery before rejection; keep hidden unless all publication gates pass.
31,https://chamanlawfirm.com/the-statutory-right-of-occupancy-in-nigeria/,The Statutory Right Of Occupancy In Nigeria,general legal education,redirect configured to /resources/blog/the-statutory-right-of-occupancy-in-nigeria,328,328,,328 clicks; 24757 impressions; avg position 7.85 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/the-statutory-right-of-occupancy-in-nigeria,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/the-statutory-right-of-occupancy-in-nigeria,3283,Attempt recovery before rejection; keep hidden unless all publication gates pass.
32,https://chamanlawfirm.com/legal-steps-to-take-when-our-land-has-been/,Legal Steps To Take When Our Land Has Been,property/title,redirect configured to /resources/blog/legal-steps-to-take-when-our-land-has-been,315,315,,315 clicks; 8372 impressions; avg position 7.14 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/legal-steps-to-take-when-our-land-has-been,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/legal-steps-to-take-when-our-land-has-been,3153,Attempt recovery before rejection; keep hidden unless all publication gates pass.
33,https://chamanlawfirm.com/transfer-of-company-shares-in-nigeria/,Transfer Of Company Shares In Nigeria,corporate/commercial,redirect configured to /resources/blog/transfer-of-company-shares-in-nigeria,295,295,,295 clicks; 8083 impressions; avg position 11.99 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/transfer-of-company-shares-in-nigeria,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/transfer-of-company-shares-in-nigeria,2953,Attempt recovery before rejection; keep hidden unless all publication gates pass.
34,https://chamanlawfirm.com/rights-of-tenants-in-ogun-chaman-law-firm/,Rights Of Tenants In Ogun Chaman Law Firm,property/title,redirect configured to /resources/blog/rights-of-tenants-in-ogun-chaman-law-firm,286,286,,286 clicks; 6542 impressions; avg position 6.66 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/rights-of-tenants-in-ogun-chaman-law-firm,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/rights-of-tenants-in-ogun-chaman-law-firm,2863,Attempt recovery before rejection; keep hidden unless all publication gates pass.
35,https://chamanlawfirm.com/5-vital-role-of-consumer-protection-agencies/,5 Vital Role Of Consumer Protection Agencies,general legal education,redirect configured to /resources/blog/5-vital-role-of-consumer-protection-agencies,284,284,,284 clicks; 44484 impressions; avg position 8.93 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/5-vital-role-of-consumer-protection-agencies,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/5-vital-role-of-consumer-protection-agencies,2843,Attempt recovery before rejection; keep hidden unless all publication gates pass.
36,https://chamanlawfirm.com/what-is-the-implication-of-quit-notice/,What Is The Implication Of Quit Notice,general legal education,redirect configured to /practice-areas/property-real-estate-law,283,283,,283 clicks; 30132 impressions; avg position 11.67 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /practice-areas/property-real-estate-law,sitemap after deployment,service,high - lawyer review required before publication,high,low; service route selected to avoid weak blog duplication,high service/lead value,restore as service page,https://chamanlawfirm.com/practice-areas/property-real-estate-law/quit-notice-advisory,2833,Implemented in Sprint 11S as focused static/service authority page.
37,https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria/,The Overall List Of Federal Laws In Nigeria,general legal education,hidden Sanity draft; do not redirect,263,263,,263 clicks; 22517 impressions; avg position 14.43 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria,2633,Attempt recovery before rejection; keep hidden unless all publication gates pass.
38,https://chamanlawfirm.com/polygamy-and-multiple-marriages-in-nigeria/,Polygamy And Multiple Marriages In Nigeria,family law,redirect configured to /practice-areas/family-law,262,262,,262 clicks; 65029 impressions; avg position 8.88 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /practice-areas/family-law,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/practice-areas/family-law,2623,Attempt recovery before rejection; keep hidden unless all publication gates pass.
39,https://chamanlawfirm.com/steps-to-permanent-residency-in-nigeria/,Steps To Permanent Residency In Nigeria,immigration,redirect configured to /resources/blog/steps-to-permanent-residency-in-nigeria,244,244,,244 clicks; 22900 impressions; avg position 10 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/steps-to-permanent-residency-in-nigeria,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/steps-to-permanent-residency-in-nigeria,2442,Attempt recovery before rejection; keep hidden unless all publication gates pass.
40,https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law/,What Are The Sources Of Nigerian Law,general legal education,live 404,231,231,,231 clicks; 30286 impressions; avg position 14.56 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/what-are-the-sources-of-nigerian-law,2412,Attempt recovery before rejection; keep hidden unless all publication gates pass.
41,https://chamanlawfirm.com/taxation-of-the-construction-sector-in-nigeria/,Taxation Of The Construction Sector In Nigeria,corporate/commercial,redirect configured to /resources/blog/taxation-of-the-construction-sector-in-nigeria,234,234,,234 clicks; 4891 impressions; avg position 10.54 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/taxation-of-the-construction-sector-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/taxation-of-the-construction-sector-in-nigeria,2342,Attempt recovery before rejection; keep hidden unless all publication gates pass.
42,https://chamanlawfirm.com/sharing-of-property-after-divorce-in-nigeria/,Sharing Of Property After Divorce In Nigeria,property/title,redirect configured to /resources/blog/sharing-of-property-after-divorce-in-nigeria,231,231,,231 clicks; 14184 impressions; avg position 10.87 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/sharing-of-property-after-divorce-in-nigeria,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/sharing-of-property-after-divorce-in-nigeria,2312,Attempt recovery before rejection; keep hidden unless all publication gates pass.
43,https://chamanlawfirm.com/challenges-facing-the-nigerian-court-system/,Challenges Facing The Nigerian Court System,litigation/ADR,redirect configured to /resources/blog/challenges-facing-the-nigerian-court-system,230,230,,230 clicks; 26691 impressions; avg position 7.67 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/challenges-facing-the-nigerian-court-system,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/challenges-facing-the-nigerian-court-system,2302,Attempt recovery before rejection; keep hidden unless all publication gates pass.
44,https://chamanlawfirm.com/statute-of-limitations-on-debt-in-nigeria/,Statute Of Limitations On Debt In Nigeria,debt recovery,redirect configured to /resources/blog/statute-of-limitations-on-debt-in-nigeria,229,229,,229 clicks; 10391 impressions; avg position 10.89 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/statute-of-limitations-on-debt-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/statute-of-limitations-on-debt-in-nigeria,2292,Attempt recovery before rejection; keep hidden unless all publication gates pass.
45,https://chamanlawfirm.com/registration-of-trade-union-in-nigeria/,Registration Of Trade Union In Nigeria,general legal education,redirect configured to /practice-areas/employment-law,227,227,,227 clicks; 11085 impressions; avg position 14.87 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,redirect configured to /practice-areas/employment-law,sitemap after deployment,service,low/medium - editorial and legal review still required,medium,low; service route selected to avoid weak blog duplication,high service/lead value,restore as service page,https://chamanlawfirm.com/practice-areas/employment-law/trade-union-registration-advisory,2272,Implemented in Sprint 11S as focused static/service authority page.
