Date,Clicks,Impressions,CTR,Position
2025-12-02,205,16696,1.23%,9.3
2025-12-03,162,17399,0.93%,10.9
2025-12-04,167,15654,1.07%,9.3
2025-12-05,133,12622,1.05%,10.1
2025-12-06,118,10438,1.13%,10
2025-12-07,136,11465,1.19%,10
2025-12-08,163,14415,1.13%,10.2
2025-12-09,178,14428,1.23%,10.3
2025-12-10,161,15513,1.04%,9.7
2025-12-11,168,14635,1.15%,9.8
2025-12-12,169,13297,1.27%,10
2025-12-13,125,11991,1.04%,10.2
2025-12-14,141,14231,0.99%,10.3
2025-12-15,226,19216,1.18%,9.6
2025-12-16,263,19379,1.36%,10.4
2025-12-17,215,19684,1.09%,9
2025-12-18,227,19836,1.14%,9.4
2025-12-19,191,16109,1.19%,9.4
2025-12-20,160,12583,1.27%,9.5
2025-12-21,169,13772,1.23%,9.4
2025-12-22,189,16864,1.12%,9.5
2025-12-23,184,16593,1.11%,10.3
2025-12-24,158,13164,1.2%,11.1
2025-12-25,118,11123,1.06%,11.2
2025-12-26,144,13222,1.09%,9.6
2025-12-27,140,13632,1.03%,9.6
2025-12-28,165,14729,1.12%,10.2
2025-12-29,204,20019,1.02%,9.6
2025-12-30,215,20649,1.04%,9.6
2025-12-31,149,20626,0.72%,8.9
2026-01-01,151,16402,0.92%,9.1
2026-01-02,200,18984,1.05%,10
2026-01-03,190,17997,1.06%,8.1
2026-01-04,218,18660,1.17%,8.4
2026-01-05,276,24876,1.11%,8
2026-01-06,223,26631,0.84%,7.5
2026-01-07,146,14119,1.03%,7.7
2026-01-08,129,11559,1.12%,8.3
2026-01-09,120,9714,1.24%,8
2026-01-10,67,7471,0.9%,8.3
2026-01-11,89,8242,1.08%,8.2
2026-01-12,104,10991,0.95%,7.8
2026-01-13,130,10999,1.18%,8.3
2026-01-14,101,9491,1.06%,9.1
2026-01-15,99,8411,1.18%,9.1
2026-01-16,76,6896,1.1%,9.8
2026-01-17,69,5731,1.2%,10.8
2026-01-18,75,6866,1.09%,8.5
2026-01-19,100,10803,0.93%,8.2
2026-01-20,114,10565,1.08%,9
2026-01-21,113,11397,0.99%,9.7
2026-01-22,146,11739,1.24%,10.5
2026-01-23,134,10009,1.34%,10.2
2026-01-24,103,9234,1.12%,11.2
2026-01-25,123,11477,1.07%,9.4
2026-01-26,166,13662,1.22%,9.5
2026-01-27,127,14305,0.89%,9.9
2026-01-28,151,19544,0.77%,9.3
2026-01-29,135,14110,0.96%,8.4
2026-01-30,113,13352,0.85%,8.9
2026-01-31,82,14223,0.58%,9.3
2026-02-01,66,8579,0.77%,8.9
2026-02-02,68,6478,1.05%,8.7
2026-02-03,62,6172,1%,7.1
2026-02-04,43,6081,0.71%,7.9
2026-02-05,47,6820,0.69%,7.4
2026-02-06,118,12078,0.98%,9.5
2026-02-07,105,9897,1.06%,8.8
2026-02-08,217,15090,1.44%,7.7
2026-02-09,304,25633,1.19%,7.5
2026-02-10,313,24095,1.3%,7.3
2026-02-11,194,21456,0.9%,9
2026-02-12,397,24803,1.6%,8.1
2026-02-13,167,12560,1.33%,8.1
2026-02-14,85,9515,0.89%,9.4
2026-02-15,127,12486,1.02%,8.3
2026-02-16,129,13758,0.94%,7.6
2026-02-17,157,14592,1.08%,7.5
2026-02-18,133,14659,0.91%,7.5
2026-02-19,116,14588,0.8%,7.2
2026-02-20,98,15007,0.65%,6.7
2026-02-21,115,13023,0.88%,7.3
2026-02-22,93,13170,0.71%,7.2
2026-02-23,127,14528,0.87%,7.2
2026-02-24,139,16149,0.86%,7.2
2026-02-25,137,15383,0.89%,7.2
2026-02-26,122,15463,0.79%,7.3
2026-02-27,108,13161,0.82%,7.2
2026-02-28,77,9930,0.78%,7.3
2026-03-01,108,12492,0.86%,6.8
2026-03-02,131,15162,0.86%,6.6
2026-03-03,127,14493,0.88%,7.2
2026-03-04,131,15238,0.86%,8.3
2026-03-05,141,14252,0.99%,9.8
2026-03-06,95,11108,0.86%,8.4
2026-03-07,80,9748,0.82%,8.3
2026-03-08,79,10594,0.75%,7.8
2026-03-09,135,14005,0.96%,7.5
2026-03-10,126,12498,1.01%,8.6
2026-03-11,149,12559,1.19%,8.5
2026-03-12,138,13761,1%,8.1
2026-03-13,121,10659,1.14%,9
2026-03-14,102,9924,1.03%,8.2
2026-03-15,103,11041,0.93%,8.6
2026-03-16,155,14885,1.04%,8.8
2026-03-17,124,14004,0.89%,9
2026-03-18,90,11172,0.81%,9.8
2026-03-19,88,9787,0.9%,9.4
2026-03-20,86,9120,0.94%,9.5
2026-03-21,70,8631,0.81%,9.4
2026-03-22,72,10216,0.7%,10.9
2026-03-23,117,12700,0.92%,8.6
2026-03-24,112,12739,0.88%,9.2
2026-03-25,118,13162,0.9%,10.2
2026-03-26,111,12250,0.91%,9.2
2026-03-27,87,10951,0.79%,9.6
2026-03-28,80,9255,0.86%,8.3
2026-03-29,60,8693,0.69%,8.9
2026-03-30,121,11875,1.02%,8.1
2026-03-31,118,11598,1.02%,8.4
2026-04-01,101,12597,0.8%,8.4
2026-04-02,87,10986,0.79%,8.8
2026-04-03,88,10744,0.82%,9.7
2026-04-04,57,8879,0.64%,9.2
2026-04-05,77,10069,0.76%,10
2026-04-06,118,13848,0.85%,8.8
2026-04-07,125,14268,0.88%,9.2
2026-04-08,125,14803,0.84%,8
2026-04-09,163,15150,1.08%,8.3
2026-04-10,125,13033,0.96%,8.2
2026-04-11,80,10472,0.76%,9.8
2026-04-12,79,10713,0.74%,10.1
2026-04-13,121,15011,0.81%,9.5
2026-04-14,117,13991,0.84%,9.2
2026-04-15,126,14220,0.89%,9.5
2026-04-16,111,14852,0.75%,8.7
2026-04-17,101,11469,0.88%,9.1
2026-04-18,83,10220,0.81%,8.2
2026-04-19,91,10377,0.88%,8.6
2026-04-20,133,15155,0.88%,10.6
2026-04-21,144,10105,1.43%,10.2
2026-04-22,149,10739,1.39%,9.8
2026-04-23,121,10075,1.2%,10.3
2026-04-24,129,8803,1.47%,10.1
2026-04-25,84,7572,1.11%,9.7
2026-04-26,76,8558,0.89%,9.9
2026-04-27,140,10997,1.27%,9.4
2026-04-28,135,9438,1.43%,9.3
2026-04-29,129,10494,1.23%,9.3
2026-04-30,90,10261,0.88%,10.5
2026-05-01,67,8733,0.77%,10.3
2026-05-02,101,7971,1.27%,10.1
2026-05-03,96,8818,1.09%,12.9
2026-05-04,122,10217,1.19%,9.9
2026-05-05,134,9817,1.36%,9.9
2026-05-06,126,10102,1.25%,10.7
2026-05-07,97,10035,0.97%,10.7
2026-05-08,82,9501,0.86%,8.8
2026-05-09,77,7650,1.01%,9.4
2026-05-10,76,8094,0.94%,9.4
2026-05-11,113,10293,1.1%,9.4
2026-05-12,117,9906,1.18%,10.6
2026-05-13,119,9598,1.24%,10.6
2026-05-14,86,9054,0.95%,11.3
2026-05-15,68,7804,0.87%,14.7
2026-05-16,66,7103,0.93%,15.6
2026-05-17,70,6875,1.02%,18.2
2026-05-18,97,8834,1.1%,17.6
2026-05-19,124,7576,1.64%,16.4
2026-05-20,89,7242,1.23%,18.9
2026-05-21,94,6612,1.42%,16.4
2026-05-22,59,5792,1.02%,20.2
2026-05-23,60,5188,1.16%,23.4
2026-05-24,67,5980,1.12%,22.1
2026-05-25,80,6573,1.22%,17.5
2026-05-26,73,6320,1.16%,17.4
2026-05-27,75,5777,1.3%,20.3
2026-05-28,83,5886,1.41%,16.9
2026-05-29,71,6032,1.18%,15.7
2026-05-30,61,4898,1.25%,15.3
2026-05-31,67,5171,1.3%,13.8
2026-06-01,81,6110,1.33%,12.7
2026-06-02,72,4893,1.47%,11.9
2026-06-03,65,4351,1.49%,22.6
2026-06-04,95,8814,1.08%,10.9
2026-06-05,33,2086,1.58%,20.8
2026-06-06,22,1763,1.25%,22
2026-06-07,16,1348,1.19%,22.1
2026-06-08,34,1637,2.08%,15.9
2026-06-09,30,1499,2%,18
2026-06-10,18,1500,1.2%,19
2026-06-11,36,1396,2.58%,18.3
2026-06-12,16,1193,1.34%,18.5
2026-06-13,10,1074,0.93%,22.6
2026-06-14,9,983,0.92%,23.2
2026-06-15,6,1195,0.5%,19.9
2026-06-16,25,1130,2.21%,18.5
2026-06-17,10,1105,0.9%,21.7
2026-06-18,20,1198,1.67%,26.1
